bookEdition,description,id,GoodReadAverageRating,Language,NumberofRatings,author,numberofpages,title,bookformat
Le Vele,"Un cronista sportivo e il suo giovane amico Pigi, studente idealista e inquieto, oltrepassano la Cortina di Ferro per assistere all'incontro di Coppa Davis tra la nazionale italiana e quella ceca. L'esperienza si trasformerà presto in un viaggio iniziatico che assume lo spessore del confronto con se stessi e con quella realtà dell'Est comunista finora mai toccata con mano, ma soltanto vissuta come problematico oggetto al centro del dibattito e dello scontro storico-ideologico. Sarà una Coppa Davis amara per gli azzurri, con i nostri Merlo e Pietrangeli sconfitti dai meno blasonati tennisti cechi, ma il soggiorno a Praga dei nostri proseguirà in una girandola di incontri con un'umanità varia e colorita, in una Praga struggente e venata di nostalgia.",6478850,2.33,Italian,6,Gianni Clerici,122 pages,Erba rossa,Paperback
Abridged,"James Maitland ""Jimmy"" Stewart (May 20, 1908 – July 2, 1997) was an American film and stage actor, best known for his self-effacing persona. Over the course of his career, he starred in many films widely considered classics and was nominated for five Academy Awards, winning one in competition and receiving one Lifetime Achievement award. He was a major MGM contract star. He also had a noted milita",2019627,3.76,English,241,Jimmy Stewart,0 pages,Jimmy Stewart and His Poems,Audio Cassette
Harlequin Blaze #280,"New York Times Bestselling author, Leslie Kelly writes sexy romances and dark romantic thrillers. A four-time RWA RITA Award nominee, eleven-time Romantic Times Award nominee and 2006 RT Award winner, Leslie has become known for her delightful characters, sparkling dialogue",575142,3.82,English,247,Leslie Kelly,256 pages,Asking For Trouble ,Mass Market Paperback
TIP Culinair,Sara Lewis is a professional food stylist and home economist.,15702658,3.36,Dutch,25,Sara  Lewis,144 pages,The Bread Book: The Definitive Guide to Making Bread By Hand or Machine,Paperback
#24853,Cover Artist: Murray Tinkelman,882883,3.97,English,3011,John Brunner,280 pages,The Shockwave Rider,Paperback
1,"The period spanning 600 AD to 1750 AD is perceived as the long phase of India's transition from the ancient to the immediately pre-colonial times. The book tells the story of medieval India, a defining and eventful chapter in the making of its cultural and political history. It is a period marked by a multiplicity of states, spread of urbanisation, foreign invasions, growth of science and technology, achievements in literature and philosophy as well as consolidation of the subcontinent. Drawing upon primary materials, archival records, historical narratives and accounts of travellers and European commercial records, the book is an authoritative introduction to this era.",25675111,4.1,English,10,Irfan Habib,292 pages,Medieval India : The Study of a Civilization,Paperback
Third Edition, Covers Color Basics; Perceiving Colors; Psychological Effects of Color; Compositional Effects of Color; Theories o,2492765,4.12,English,43,Paul J. Zelanski,176 pages,Color,Paperback
Second Edition,describes everything from one of the first incidences of American resistance against British rule to a courageous milestone in the civil rights movement.,6888141,3.4,"
                  ",5,Scotti Cohn,176 pages,"
                  0762754222
                      ",Paperback
Penguin Classics,"Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love—and its threatened loss—the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.",920037,4.06,English,781882,Jane Austen,409 pages,Sense and Sensibility,Paperback
slipcased edition,"Lawyer Atticus Finch defends the real mockingbird of Harper Lee's classic, Puliter Prize-winning novel - a black man charged with the rape of a white woman. Through the eyes of Atticus's children, Scout and Jem Finch, Harper Lee explores with rich humor and unanswering honesty the irrationality of adult attitudes toward race and class in the Deep South of the 1930's. ",2661,4.26,English,3363538,Harper Lee,323 pages,To Kill a Mockingbird,Hardcover
Supereroi - Le Grandi Saghe #25,"Ed Brubaker (born November 17, 1966) is an Eisner Award-winning American cartoonist and writer. He was born at the National Naval Medical Center, Bethesda, Maryland.",23593652,4.06,", ",6519,Ed Brubaker,320 pages,X-Men: Messiah CompleX,Paperback
Dyslexia Friendly,A dyslexia friendly read from specialist publisher Barrington Stoke.,120812,2.71,English,7,Terry Deary,73 pages,Pitt Street Pirates,Paperback
"Poder militar y sociedad politica en la Argentina, #2","Esta segunda parte de Poder militar y sociedad politica en la Argentina, de Alain Rouquie, sin duda uno de los mas importantes trabajos sobre el tema, abarca desde el 4 de junio de 1943, fecha en que fue depuesto el presidente Castillo, hasta el regreso personal de Peron al poder, el 12 de octubre de 1973. Son treinta anos de la vida politica argentina, estudiados minuciosamente, un verdadero documento que explica lo ocurrido en el pais. El autor funda sus opiniones, a veces discutibles, pero siempre claramente expresados, principalmente en las informaciones recogidas en los periodicos de la epoca y en las declaraciones de los protagonistas en las entrevistas que cita. Concluye el volumen con un ensayo de interpretacion de los hechos - Anatomia del poder militar - que, en cualquier caso, comporta un testimonio invalorable. este volumen contiene la bibliografia, y las fuentes de la totalidad de la obra.Poder militar y sociedad politica en la Argentina II es un libro de consulta irremplazable. Sera leida con avidez por todos cuantos quieran tener informacion sobre nuestra historia reciente.",3521296,4.0,French,1,Alain Rouquié,459 pages,"Poder militar y sociedad política en la Argentina. 2, 1943 - 1973.",Mass Market Paperback
1,"Ferréz (Reginaldo Ferreira da Silva) is a Brazilian author, rapper, cultural critic and activist from the Zona Sul (southern zone) favela of Capão Redondo in São Paulo, Brazil. He is a member and leader of the literary group Literatura Marginal (Marginal Literature) that emerged during the late 1990s and early 2000s (decade) from the urban periphery of São Paulo. His writings are notable for descr",22007627,3.0,Portuguese,1,Ferréz,56 pages,Os inimigos não mandam flores - uma história da periferia em quadrinhos,Paperback
Sixth Edition,"Comprehensive, logically-organized, and easy to read, this market-leading fundamentals text provides students with a solid base for their nursing education. Encompassing principles, concepts, and skills, it offers thorough coverage, a nursing process framework, an emphasis on critical thinking, and a focus on care in all settings. This new edition addresses a number of key issues, including evidence-based practice, safety concerns, and end-of-life care. To better meet the needs of beginning students, care plans have been expanded to more clearly explain assessment findings leading to nursing diagnoses, as well as evaluation of outcomes.",169058,3.67,English,257,Patricia Ann Potter,1776 pages,Fundamentals of Nursing,Hardcover
Abridged,"CASSANDRA KING, who has been called “the Queen of Southern storytelling,” is the author of six novels, Making Waves, The Sunday Wife, The Same Sweet Girls, Queen of Broken Hearts, Moonrise, and The Same Sweet Girls' Guide to Life, as well as numerous short stories, essays and articles. Moonrise, her fifth novel, is set in Highlands, North Carolina. A native of Alabama, Cassandra resides in Beaufor",1939840,3.46,English,582,Cassandra    King,0 pages,Making Waves,Audio CD
Varianti,"Sposi per un anno. Questo è il patto che Nick e Susy Lansing hanno stipulato: rimanere uniti nella buona sorte fino a quando il denaro dei regali di nozze e l'ospitalità degli amici consentirà loro di continuare la luna di miele. Poi, se una migliore occasione si presenterà a uno di loro, l'altro acconsentirà a lasciarlo libero. Lo scenario dei primi mesi di questa anomala unione è idilliaco: una romantica villa sulle sponde del lago di Como, un palazzo patrizio a Venezia, passeggiate nelle calli ombrose, chiari di luna, amici spensierati sempre pronti ad assecondare i due novelli sposi. Eppure, fin dall'inizio, la macchina perfetta del matrimonio concordato si inceppa, incalzata da un elemento imprevisto: l'amore. Capriccioso, incoerente, poco incline a compromessi e a sfumature, l'amore si insinua nella mente ordinata e onesta di Nick, che ha idealizzato la moglie al punto di non poterle perdonare nessuno sbaglio, nessuna leggerezza, e in quella di Susy, incapace di rinunciare ai suoi sogni di grandezza se non per il marito, ma così spaventata da questa scoperta da non riuscire a dirglielo, anche quando sarebbe l'unico modo per trattenerlo. E allora, di nuovo soli, ""liberi"", come amavano dire prima di sposarsi, Nick e Susy cercano ognuno la propria occasione lontano dall'altro, lui sul panfilo di ricchi amici, lei nientemeno che con un lord. Ma l'amore che paradossalmente li ha separati, si è talmente insinuato nel loro cuore da ricongiungerli.",24662849,3.83,Italian,2372,Edith Wharton,270 pages,The Glimpses of the Moon,Paperback
Second Edition,"Government regulations said they had no choice. 17-year-old Philadelphia must stay on Earth in the care of complete strangers while her father is sent against his will to Mars. When a benevolent official allows her to accompany her father, Philadelphia knows she must keep her head down or be sent back to Earth. But when a search for her deceased brother’s Bible leads her into a hallway that isn’t supposed to exist, Philadelphia is faced with a question she doesn’t want to answer – the choice between returning to Earth or destroying it.",15758551,3.97,"
                ",138,Aubrey Hansen,151 pages,B005K21VU6,Kindle Edition
Movie Tie-In Edition,"When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and lively mind. When she later discovers that Darcy has involved himself in the troubled relationship between his friend Bingley and her beloved sister Jane, she is determined to dislike him more than ever. In the sparkling comedy of manners that follows, Jane Austen shows the folly of judging by first impressions and superbly evokes the friendships, gossip and snobberies of provincial middle-class life.",1889,4.24,English,2212933,Jane Austen,392 pages,Pride and Prejudice,Paperback
Second Edition,"Few topics in the Western intellectual tradition have been subjected to as much scrutiny and analysis as the topic of race. This book examines the evolution of the concept. It shows that late-eighteenth-century North Americans came to believe that their society was composed of biologically exclusive and permanently unequal human groups, each with distinctive behavioral, moral, spiritual, and intellectual characteristics, led people to see biophysical and behavioral features as innate and immutable. In the nineteenth century, differences between whites, American Indians, and blacks were magnified in the popular mind and in scholarly writings to the point that these groups were seen as separate species, justifying the preservation of “racial” slavery and the subsequent dehumanization of freed blacks. With the application in the late nineteenth century of the racial worldview to European peoples and the subsequent twentieth-century inhumanity and brutality of Nazi race ideology, the concept of race came under attack. Liberal ideology coupled with advances in science prompted criticism of “race” and efforts to eliminate the term from the lexicon of science.In a sweeping work that traces the idea of race through three centuries of North American history, Audrey Smedley shows race to be a cultural construct used variously and opportunistically throughout time, although the scientific record shows little common agreement on its meaning. Tracing the social and historical processes that helped shape the idea of race, Smedley argues that race was and is a folk worldview, fabricated as an existential reality out of elements of English cultural history and the conquest and enslavement of physically distinct populations. The schism between science and popular thought on race, which appeared in the mid-twentieth century, continues today. If progressive scientists no longer accept the biological idea of race, will society eventually also reject it?The second edition expands its coverage of the nineteenth and twentieth centuries, particularly in matters of IQ testing and changing racial attitudes, including the contemporary movement aimed at identifying a “mixed race” category in the U.S. census. Smedley further examines the economic, social, and political factors after World War II that directly or indirectly affected the public’s thinking about race and discusses how the Civil Rights Movement and television during the 1950s and 1960s prompted greater attention to race and racism, causing many to rethink their beliefs and values. The first edition was named a 1994 Outstanding Book on Human Rights in North America by the Gustavus Myers Center.",2147176,4.16,English,87,Audrey Smedley,400 pages,Race in North America: Origin And Evolution of a Worldview,Paperback
La Historieta Argentina,Hipólito Bouchard nació el 15 de enero de 1780 en Bormes. cerca de las bellas playas de Saint-Tropez en la Costa Azul de Francia. Su vida aventurera comenzó cuando. siendo un muchachito. decidió incorporarse a la marina y participar en la campaña de Napoleón a Egipto bajo las órdenes de su tocayo el corsario francés Hipólito Mordell. Llegó a Buenos Aires a los 26 años mientras se producía la Segunda Invasión Inglesa. justo a tiempo para colaborar en la Reconquista a las órdenes de Liniers.El muchacho de Saint-Tropez tenía ideas liberales y revolucionarias. lo que por entonces no era contradictorio sino complementario. En 1810 soplaban nuevos vientos de cambio y. al producirse la revolución. se vinculó con el sector más radical de la Junta. liderado por Mariano Moreno. y puso sus conocimientos navales a disposición del gobierno revolucionario. El 1 de febrero de 1811. la Secretaría de Guerra lo designó comandante del bergantín 25 de Mayo dentro de la pequeña flota nacional que comandaba el maltés Juan Bautista Azopardo. La atrevida flotilla insurgente . como la llamará el soberbio jefe español de Montevideo Javier de Elío. tuvo su bautismo de fuego el 2 de marzo de 1811 en el combate de San Nicolás de los Arroyos. Lamentablemente fue una derrota.Pero el 3 de febrero de 1813 otro bautismo de fuego. el del Regimiento de Granaderos a Caballo (al mando de San Martín) en San Lorenzo. encontró nuevamente a Bouchard dispuesto a todo. Durante la batalla quiso quedarse con un souvenir de su primer combate terrestre en suelo americano; como el abanderado español se negaba a entregar el rojo pabellón . lo liquidó ahí nomás. Dice el jefe de los Granaderos en el parte de guerra: Una bandera que pongo en manos de V.E. y que arrancó con la vida del abanderado el oficial don Hipólito Bouchard .Pocos días después. el 22 de febrero.,2969715,0.0,Spanish,0,Felipe Pigna,50 pages,"La Historieta Argentina: Bouchard, El Corsario De La Patria",Paperback
Saggi #28,"Anche nel Mezzogiorno vi è una rete, certo meno ampia di quella del Centro-nord ma sorprendentemente più fitta di quanto si immagini normalmente, di distretti industriali. Questo libro raccoglie una serie di saggi che ne ricostruiscono le origini e la storia, cercando di spiegare perché alcune specifiche produzioni si sono concentrate in quelle specifiche aree; ne raccontano dettagliatamente l'organizzazione industriale, le imprese e gli imprenditori, i prodotti, i mercati; ne discutono le prospettive.",18278582,0.0,"
                  ",0,Gianfranco Viesti,327 pages,"
                  8886175590
                      ",Paperback
Illustrated,In ,3870,4.19,English,208310,Bill Bryson,624 pages,A Short History of Nearly Everything,Hardcover
Penguin Freud Library,"Despite Freud's enormous influence on twentieth-century interpretations of the humanities, there has never before been in English a complete collection of his writings on art and literature. These fourteen essays cover the entire range of his work on these subjects in chronological order, beginning with his first published analysis of a work of literature, the 1907 ""Delusions and Dreams in Jensen's Gradiva,"" and concluding with the 1940 posthumous publication of ""Medusa's Head."" Many of the essays included in this collection have been crucial in contemporary literary and art criticism and theory.",1208431,3.84,English,140,Sigmund Freud,512 pages,Writings on Art and Literature,Paperback
Pocket Books Premium Edition,A devastating new weapon of destruction.,960,3.86,English,2094460,Dan Brown,713 pages,Angels & Demons ,Mass Market Paperback
Large Print,"Devastated by love's betrayal, nearly destroyed by the assassin who took his eye and left him for dead, Guy De Young was reborn as a man with no name: a pirate. His stare was unforgettable; the brilliant gaze enchanted women and struck fear in the hearts of men. Determined to ruin those who kept him from freedom and his heart's only desire, the reckless marauder could have been the Devil himself but for the single gleaming silver eye that recalled his past life.",1269360,3.94,English,529,Connie Mason,464 pages,Pirate ,Hardcover
Fourth Edition,"More than 40 million students have trusted Schaum's to help them succeed in the classroom and on exams. Schaum's is the key to faster learning and higher grades in every subject. Each Outline presents all the essential course information in an easy-to-follow, topic-by-topic format.",6746308,4.0,English,12,Philip A. Schmidt,464 pages,Schaum's Outline of College Mathematics (Schaum's Outline Series),Paperback
Large Print,"Doreen began her publishing career at a Fleet Street newspaper in London, where she thrived in the hectic atmosphere. She started writing after attending an evening class and sold her first novel to Mills & Boon in 1977, she",1796157,3.42,English,89,Sally Wentworth,235 pages,Betrayal in Bali,Hardcover
Unabridged," Since the fall of 1995, the first six books in the planned 12-book series -- ",2950861,3.97,English,23066,Tim LaHaye,11 pages,The Indwelling: The Beast Takes Possession,Audio CD
Fourth Edition,"The fully revised and updated must-have resource to help you become a supportive and assertive advocate for your childIn print for more than twenty years, The Misunderstood Child has become the go-to reference guide for families of children with learning disorders. This newly revised edition provides the latest research and new and updated content, including:? How to identify and address specific disabilities, from dyslexia to sensory integration disorder? New information on the genetics of learning disorders? Expanded sections on attention-deficit/hyperactivity disorder (ADHD)? The most recent neurological discoveries about how the brain functions in children with learning disabilities? Insights about other neurological disorders common among individuals with learning disabilities, such as anxiety disorders, obsessive-compulsive behaviors, anger-control problems, depression, and tic disorders? Resources, Web sites, and organizations that can aid the treatment process and offer support for both parent and child",671758,3.91,English,32,Larry B. Silver,450 pages,The Misunderstood Child: Understanding and Coping with Your Child's Learning Disabilities,Paperback
Abridged," finds the two at the height of their powers, weaving together a broad range of approaches to self-realization and spiritual fulfillmen",836516,4.06,English,93,Deepak Chopra,0 pages,Living Beyond Miracles,Audio CD
"Revised, Third Edition","Approaches to Training and Development provides a comprehensive and practical introduction to the field of organizational training and human-resource development. It surveys the methods, functions, and goals of training--from needs assessment to implementation--illustrating each step of an effective training program. This new edition includes updates throughout, with fresh examples and current references, with an emphasis on evaluating and explaining new training. Comprehensive, authoritative, and accessible, this new edition will prove an essential resource to a new generation of trainers, HRD professionals, educators, and managers.",924656,3.73,English,11,Dugan Laird,352 pages,Approaches to Training and Development,Paperback
Large Print,"The CD-ROM provides: Boolean and proximity searches; complete text search; extensive support for bookmarking, journaling and annotation; interlinks leading to related topics and examples; zoom features for detailed viewing of figures and graphs; cut and paste capabilities for inserting text into other documents and programs; and an expandable table of contents providing instant access to text, tables and illustrations. Besides the complete 25th edition, this CD-ROM also contains important material from earlier editions of Machinery's Handbook. Extensive cross-referencing between the CD-ROM and Handbook make them ideal complements and the COMBO Specials a great value.",3369780,4.39,English,193,Erik Oberg,2554 pages,Machinery's Handbook,Hardcover
Second Edition," offers students with little or no background in statistical analysis an introduction to a broad spectrum of statistical concepts and methods. Written by authors well-known for their ability to convey difficult ideas clearly an directly, it succeeds by virtue of it s superior explanations, logical development of ideas, balanced presen",4778526,3.9,English,52,Robert R. Sokal,859 pages,Biometry,Hardcover
Large Print,"""There is something about everything that you can be glad about, if you keep hunting long enough to find it.""",3709042,3.95,English,61848,Eleanor H. Porter,310 pages,Pollyanna,Hardcover
Abridged,"Almost 40 years ago, Charles W. Colson was not thinking about reaching out to prison inmates or reforming the U.S. penal system. In fact, this aide to President Richard Nixon was ""incapable of humanitarian thought,"" according to the media of the mid-1970s. Colson was known as the White House ""hatchet man,"" a man feared by even the most powerful politicos during his four years of service to Nixon.",49274,4.18,English,3327,Charles W. Colson,0 pages,How Now Shall We Live?,Audio
German Edition,"Intelligent, ironisch, unterhaltsam - eine nostalgisch-",2043796,3.86,German,5773,David Lodge,308 pages,Changing Places,Paperback
Abridged,--a crystalline distillation of insights and wisdom accumulated over the lifetime of one of the g,526775,4.0,English,5028,Deepak Chopra,0 pages,The Book of Secrets,Audio CD
1,"Sabena Pierce had to run away from Paul McCann, the boy who had broken her heart. She sped out of the parking lot and away from the life that she once knew. After she is captured by Chelindren renegades, , Sabena discovers that her entire life has been a lie. She isn’t human and her mother committed a sin much worse than adultery. Sabena is a part of a magical race and there is war among the chelindren people. If she chooses to stand by her family, she will lose the one that she desperately loves. But Sabina is intent on not choosing at all. After Sunny MacPherson, a vindictive outlaw, sends vicious witchlings after her, Sabena will realize that her decision isn’t just between loyalty and love.",21857831,4.57,English,7,Debbie Civil,357 pages,The Hunter,Paperback
Complete Edition,"Katherine Mansfield (1888-1923) published three collections of short stories -- In a German Pension, Bliss, and The Garden Party -- during her tragically short life, and was acclaimed as one of modernism's most daring and original writers. After her death from tuberculosis in France, Mansfield's private writings and letters were edited by her husband, John Middleton Murry, and published in four volumes between 1927 and 1954. Murry, however, took liberties in recasting his wife's journals and notes. He excluded most of the vast mass of material and revised much of what he included, resulting in a distorted image of Mansfield as a passive, ethereal spirit.More than four decades later, the real Mansfield finally emerges in The Katherine Mansfield Notebooks, the first unexpurgated edition of her private writings. Fully and accurately transcribed by editor Margaret Scott, these infrequent diary entries, drafts of letters, introspective notes jotted on scraps of paper, unfinished stories, half-plotted novels, poems, recipes, and shopping lists offer a complete and compelling portrait of a complex woman who was ambitious and at times ruthless, neurotic and sexually voracious, witty and acerbic, fascinated with the minutiae of daily life and obsessed with death.",188088,4.23,English,39,Katherine Mansfield,665 pages,The Katherine Mansfield Notebooks,Paperback
Point Horror Unleashed,You do love me don't you Jonnie? You ,801203,3.21,English,19,Susan Price,174 pages,The Ghost Wife (Point Horror Unleashed S.),Paperback
Ace,"Born in her mother's hometown of Warren, Ohio, ",99441,4.21,                                  ,45005,Robin McKinley,292 pages,"
                  0441013058
                      ",Paperback
Unabridged,"Everything Daniel draws with his pencil--flying dragons, Octobears, and pizza-loving aliens from the planet Beezo--comes to life. It’s pretty awesome until the pencil draws a line between Daniel and his best (and only) frie",23590922,4.53,"
                  ",73,S.J. Henderson,2 pages,Daniel the Draw-er,Audible Audio
De Geus Ontdekkingen,"Byron, Martin en Inés - alledrie een jaar of zestien - zijn onafscheidelijk. Ze zitten in dezelfde klas en trekken ook buiten school veel met elkaar op. Ze praten over de boeken die ze gelezen hebben en vertrouwen elkaar hun geheimen toe.",13490451,3.13,Dutch,8,Susana Fortes,255 pages,Tiernos y traidores,Hardcover
Essential Penguin, in the Baltic. A grouse-shooting party or a weekend at Cowes would have been more Carruther’s style. More disconcerti,805035,3.63,English,4083,Erskine Childers,288 pages,The Riddle of the Sands,Mass Market Paperback
Large Print,"John D. MacDonald was born in Sharon, Pa, and educated at the Universities of Pennsylvania, Syracuse and Harvard, where he took an MBA in 1939. During WW2, he rose to the rank of Colonel, and while serving in the Army and in the Far East, sent a short story to his wife for sale, successfully. After the war, he decided to try writing for a year, to see if he could make a living. Over 500 short stor",1153252,3.6,English,434,John D. MacDonald,274 pages,Barrier Island,Hardcover
2nd edition,"The Duchess of Belcraven committed a folly, and bore her husband another man's child. Only a third son, however, so all was patched over. Then the two older boys drowned, leaving disaster. Now, over twenty years later, the duke discovers that he has a daughter, a child of his blood, and he compels the two to marry -- the arrogant ducal heir, devastated to learn for the first time that he is illegitimate; and the independent schoolteacher raised in the principles of the Rights of Women. Is there any common ground at all?",1144054,3.75,English,2338,Jo Beverley,351 pages,An Unwilling Bride,Mass Market Paperback
Second Edition,"So begins Firdaus's story, leading to her grimy Cairo prison cell, where she welcomes her death sentence as a relief from her pain and suffering. Born to a peasant family in the Egyptian countryside, Firdaus suffers a childhood of cruelty and",1008111,3.96,English,6048,Nawal El-Saadawi,114 pages,Dar el Addab,Paperback
Large Print,"In the summer of 1716, a Cornish cabin boy named Thomas Pellow and 52 of his comrades were captured at sea by the Barbary corsairs. Their captors—fanatical Islamic slave traders—had declared war on the whole of Christendom. Thousands of Europeans had been snatched from their homes and taken in chains to the great slave markets of Algiers, Tunis, and Sale in Morocco to be sold to the highest bidder. Drawn from unpublished letters and manuscripts written by slaves, and by the padres and ambassadors sent to free them, ",983949,4.02,English,667,Giles Milton,3 pages,White Gold,Audio CD
Unabridged - Library Edition,"Winner of the Pulitzer Prize in 1974 and the culmination of a life's work, The Denial of Death is Ernest Becker's brilliant and impassioned answer to the ""why"" of human existence. In bold contrast to the predominant Freudian school of thought, Becker tackles the problem of the vital lie: man's refusal to acknowledge his own mortality. In doing so, he sheds new light on the nature of humanity and issues a call to life and its living that still resonates more than thirty years after its publication. The Denial of Death was the last book Dr. Becker published before his premature death in 1974. His insightful and powerful ideas are sure to last for generations.",2764,4.19,English,4898,Ernest Becker,0 pages,The Denial Of Death,Audio CD
Abridged,"On this extraordinary audio program, Julia Butterfly Hill, the remarkable woman who inspired the world by living in a giant redwood tree named Luna to protest the practices of the logging industry, shares her story of commitment, perseverance, and courage with New Dimensions Radio host Michael Toms. The two engage in a compelling dialogue, with Hill recounting how she steadfastly remained in her leafy perch for two years, surviving wild weather and harassment from her opponents, while drawing international attention to the plight of redwoods. Hill's remarkable tree-sit ended in December of 1999, when she negotiated a deal with Pacific Lumber to save Luna from destruction.",99258,4.33,English,3,Julia Butterfly Hill,0 pages,Heart Of A Heroine: Saving the Last Redwoods,Audio
Abridged,"""THE DA VINCI CODE""",4225,4.19,"
                  ",18977,Dan Brown,11 pages,"
                  0743536916
                      ",Audio CD
Abridged,"It's a double-barreled mission for Mack Bolan: stop the terrorist attacks against the new president and deal a crippling blow to these subversive factions, including th",2468586,3.45,English,11,David  North,0 pages,Freedom Strike (Mack Bolan The Executioner #207) ,Audio
