id,bookEdition,GoodReadAverageRating,numberofpages,bookformat,NumberofRatings,description,Language,author,title
1362,Penguin Classics,3.97,716 pages,Paperback,32300,"One of the masterpieces of classical literature, the ""Histories"" describes how a small and quarrelsome band of Greek city states united to repel the might of the Persian empire. But while this epic struggle forms the core of his work, Herodotus' natural curiosity frequently gives rise to colorful digressions - a description of the natural wonders of Egypt; an account of European lake-dwellers; and far-fetched accounts of dog-headed men and gold-digging ants. With its kaleidoscopic blend of fact and legend, the ""Histories"" offers a compelling Greek view of the world of the fifth century BC.",English,Herodotus,Ἰστορίαι
17798287,1 edition,4.31,327 pages,Kindle Edition,45305,"Colton Donavan was arrogant, exuded that bad boy vibe, and embodied everything I never wanted. And yet all it took was one night, one hallway, and one stolen kiss for me to know I hated him and desired him instan","
                  ",K. Bromberg,Driven
2177236,First Edition,3.94,416 pages,Hardcover,33739,"Tia and Mike Baye never imagined they'd become the type of overprotective parents who spy on their kids. But their sixteen-year-old son Adam has been unusually distant lately, and after the suicide of his classmate Spencer Hill - the latest in a string of issues at school - they can't help but worry. They install a sophisticated spy program on Adam's computer, and within days they are jolted by a message from an unknown correspondent addressed to their son - 'Just stay quiet and all safe.' ",English,Harlan Coben,Hold Tight
3522419,1st US,3.98,480 pages,Paperback,40024,"A man is caught on CCTV, shooting dead a cashier at a bank. Detective Harry Hole begins his investigation, but after dinner with an old flame wakes up with no memory of the past 12 hours. Then the girl is found dead in mysterious circumstances and he beings to receive threatening emails: is someone trying to fra",English,Jo Nesbø,Sorgenfri
84151,+ preview Seize the Night,4.36,362 pages,Mass Market Paperback,44630,She just never expected her knight in shining armor to have a shiny coat of fur...,English,Sherrilyn Kenyon,Night Play
13413589,First Edition,4.35,342 pages,Hardcover,48555," was praised as ""an urban fantasy where our everyday world is believably twisted into the world of fey, werewolves, vampires, and myths made real."" Now Mercy Thompson faces a shapeshifter's biggest fear as the realm she has embraced is thrown into chaos...",English,Patricia Briggs,Frost Burned
8437667,First Edition,4.07,371 pages,Hardcover,31967,", in 1995, introducing a hero that would captivate millions. Over the years we have watched Myron walk a tight ro",English,Harlan Coben,Live Wire
153540,Weekly Reader Edition,4.29,44 pages,Hardcover,34518,", a poignant story of a cute country cottage that becomes engulfed by the city that grows up around it. The house has an expressive face of windows and doors, and even the feelings of a person, so she’s sad when she’s surrounded by the dirty, noisy city’s hustle and bustle: “",English,Virginia Lee Burton,The Little House
383206,Penguin Classics,4.07,679 pages,Paperback,34880," centres on the story of youthful Molly Gibson, brought up from childhood by her father. When he remarries, a new step-sister enters Molly's quiet life – loveable, but worldly and troubling, Cynthia. The narrative traces the development of the two girls into womanhood within the gossiping and watchful s",English,Elizabeth Gaskell,Wives and Daughters
7005865,First American Edition,3.97,357 pages,Hardcover,42680,"Captain Holly Short is unconvinced, and discovers that Artemis is suffering from Atlanti",English,Eoin Colfer,The Atlantis Complex
823,P.S. Edition (USA),3.92,927 pages,Paperback,30900,It is a chronicle of the breathtaking exp,English,Neal Stephenson,Quicksilver
7805,Penguin Modern Classics,4.19,246 pages,Paperback,31050, published in 1962 after the critical and popular success of Lolita had made him an international literary figure.,English,Vladimir Nabokov,Pale Fire
206962,Dr. Seuss Blue Back Books,3.95,64 pages,Paperback,40238,"Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 1925, and proceeded on to Oxford University with the intent of acquiring a doctorate in literature. At Oxford he met Helen Palmer, who he wed in 1927. He returned from Europe in 1927, and began working for a magazine called Judge, the leading humor magazine in America at the time, submitting both carto",English,Dr. Seuss,Hop on Pop
7897478,Alt Cover for ISBN: 9780061856433,3.52,240 pages,Hardcover,30340,"From the outrageously filthy and oddly innocent comedienne Sarah Silverman comes a memoir—her first book—that is at once shockingly personal, surprisingly poignant, and still pee-in-your-pants funny. If you like Sarah’s television show The Sarah Silverman Program, or memoirs such as Chelsea Handler’s Are You There Vodka? It’s Me Chelsea and Artie Lange’s Too Fat to Fish, you’ll love The Bedwetter.","
                ",Sarah Silverman,"The Bedwetter: Stories of Courage, Redemption and Pee"
24499258,1st Edition,3.82,238 pages,Hardcover,32056,". A stranger will greet you by name and invite you inside. At first, you won’t want to leave. Later, you’ll find that you can’t. Every nine years, the house’s re",English,David Mitchell,Slade House
