author,bookformat,Language,bookEdition,NumberofRatings,numberofpages,GoodReadAverageRating,id,description,title
Kevin Powers,Hardcover,English,First Edition,20178,226 pages,3.74,13366259,"""The war tried to kill us in the spring,"" begins this breathtaking account of friendship and loss. In Al Tafar, Iraq, twenty-one-year old Private Bartle and eight",The Yellow Birds
Jeff Lindsay,Hardcover,English,1st Edition,25749,307 pages,3.49,206682,Dexter slides through lif,Dexter in the Dark
James Patterson,Hardcover,English,Large Print,25157,512 pages,3.9,14781501,"It's the start of Hollywood on Hudson, and New York City is swept up in the glamour. Every night, the red carpet rolls out for movie stars arriving at premieres in limos; the most exclusive restaurants close for private parties for wealthy producers and preeminent directors; and thousands of fans gather with the paparazzi, hoping to catch a glimpse of the most famous and beautiful faces in the world. With this many celebrities in town, special task force NYPD Red is on high alert-and they can't afford to make a single mistake.",NYPD Red
Claire Messud,Hardcover,English,Borzoi (US / Canada),17697,431 pages,2.93,3648,"From a writer “of near-miraculous perfection” (The New York Times Book Review) and “a literary intelligence far surpassing most other writers of her generation” (San Francisco Chronicle), The Emperor’s Children is a",The Emperor's Children
Graham Greene,Paperback,English,Penguin Classics,23431,222 pages,3.99,3690,"In a poor, remote section of Southern Mexico, the paramilitary group, the Red Shirts have taken control. God has been outlawed, and the priests have been systematically hunted down and killed. Now, the last priest is on the run. Too human for heroism, too humble for martyrdom, the nameless little worldly “whiskey priest” is nevertheless impelled toward his squalid Calvary as much by his own compassion for humanity as by the efforts of his pursuers.",The Power and the Glory
Nathaniel Hawthorne,Paperback,English,Norton Critical Edition,28915,225 pages,3.45,90192,"In a sleepy little New England village stands a dark, weather-beaten, many-gabled house. This brooding mansion is haunted by a centuries-old curse that casts the shadow of ancestral sin upon the last four members of the distinctive Pyncheon family of Salem. The greed and haughty pride of the Pyncheon family through the generations is mirrored in the gloomy decay of their seven-gabled mansion, where the family's enfeebled and impoverished relations now live. Mysterious deaths threaten the living. Musty documents nestle behind hidden panels carrying the secret of the family's salvation--or its downfall. A brilliant intertwining of the popular, the symbolic, and the historical, Hawthorne's Gothic Romance is a powerful exploration of personal and national guilt, a work that Henry James declared ""the closest approach we are likely to have to the Great American Novel.""",The House of the Seven Gables
Alexandra Adornetto,Hardcover,English,First Edition,28761,425 pages,3.97,9666812,"Bethany Church is an angel sent to Earth to keep dark forces at bay. Falling in love was never part of her mission, but the bond between Beth and her mortal boyfriend, Xavier Woods, is undeniably strong. But even Xavier’s love, and the care of her archangel siblings, Gabriel and Ivy, can’t keep Beth from being tricked into a motorcycle ride that ends up in Hell. There, the demon Jake Thorn bargains for Beth’s release back to Earth. But what he asks of her will destroy her, and quite possibly, her loved ones, as well.",Hades
Meredith Wild,Kindle Edition,"
                  ",1st,28945,266 pages,4.07,18244799,"Determined to overcome a difficult past, Erica Hathaway learns early on how to make it on her own. Days after her college graduation she finds herself face to face with a panel of investors who will make or break her fledgling startup. The only thing she didn't prepare for was going weak in the knees over an arrogant and gorgeous investor who's seemingly determined to derail her presentation.",Hardwired
Kass Morgan,Hardcover,English,First Edition,33474,323 pages,3.56,17332969,"Ever since a devastating nuclear war, humanity has lived on spaceships far above Earth's radioactive surface. Now, one hundred juvenile delinquents -- considered expendable by society -- are being sent on a dangerous mission: to recolonize the planet. It could be their second chance at life...or it could be a suicide mission.",The 100
Melissa Marr,Hardcover,English,1st Edition,30115,327 pages,4.11,6368611,"Aislinn tends to the Summer Court, searching for her absent king and yearning for Seth. Torn between his new queen and his old love, Keenan works from afar to st",Darkest Mercy
