id,title,author,numberofpages,bookformat,NumberofRatings,GoodReadAverageRating,description,bookEdition,Language
13154933,Odd Apocalypse,Dean Koontz,464 pages,Paperback,21452,3.93,"Once presided over by a Roaring ’20s Hollywood mogul, the magnificent West Coast estate known as Roseland now harbors a reclusive billionaire financier and his faithful servants—and their guests: Odd Thomas, the young fry cook who sees the dead and tries to help them, and Annamaria, his inscrutably charming traveling companion. Fresh from a harrowing clash with lethal adversaries, they welcome their host’s hospitality. But Odd’s extraordinary eye for the uncanny detects disturbing secrets that could make Roseland more hell than haven.",Large Print,English
6918909,Illusions,Aprilynne Pike,375 pages,Hardcover,27851,4.12,"Laurel hasn't seen Tamani since she begged him to let her go last year. Though her heart still aches, Laurel is confident that David was the right choice.",1st Edition,English
9578590,Lost In Time,Melissa de la Cruz,342 pages,Hardcover,24259,4.05,"The stakes have never been higher for the young Blue Bloods of Manhattan. After their brief yet beautiful bonding ceremony in Italy, Schuyler Van Alen and Jack Force depart for Egypt, desperate to find the elusive Gate of Promise before Jack must face his twin, Mimi, for a blood trial. A blood trial that only one of them can survive. But everything Schuyler thought she knew about the gate turns out to be a lie, and they soon find themselves ensnared in a deadly battle against the demon-born. Schuyler and Jack take up arms, only to realize that there is a much graver threat simmering in the Kingdom of the Dead.",First Edition,English
76740,The Demolished Man,Alfred Bester,250 pages,Paperback,22683,3.99,"Ben Reichs heads a huge 24th century business empire, spanning the solar system. He is also an obsessed, driven man determined to murder a rival.",SF Masterworks #14,English
11076177,"
                  0224093614
                      ",Michael Ondaatje,269 pages,Hardcover,20680,3.59,"In the early 1950s, an eleven-year-old boy in Colombo boards a ship bound for England. At mealtimes he is seated at the ""cat's table"" - as far from the Captain's Table as can b",1st,"
                  "
18668066,The Collector,Nora Roberts,752 pages,Paperback,22926,3.92,"When professional house-sitter Lila Emerson witnesses a murder/suicide from her current apartment-sitting job, life as she knows it takes a dramatic turn. Suddenly, the woman with no permanent ties finds herself almost wishing for one. . . .",Large print,English
6952423,I Am Ozzy,Ozzy Osbourne,391 pages,Hardcover,18066,4.05," is the lead vocalist of the pioneering English heavy metal band Black Sabbath, a multi-platinum, award winning successful solo artist and the star of the reality show, ",First U.S. Edition,English
43917,Rise of a Merchant Prince,Raymond E. Feist,479 pages,Paperback,22181,4.03,"Roo Avery, recently returned from a harrowing brush with the armies of the Emerald Queen, is now free to choose his own destiny and his ultimate ambition is to become one of the richest and most powerful merchants in Midkemia.",Special Overseas Edition,English
215542,The Rivers of Zadaa,D.J. MacHale,405 pages,Paperback,21045,4.19,The struggle of good versus evil continues as Bobby Pendragon follows Saint Dane to the territory of Zadaa. Saint Dane's influence has fueled the fire of discontent between two warring tribes: the Rokador and the Batu. This is also the territory where the Traveler Loor lives as a member of the Batu. Together she and Bobby must work to thwart Saint Dane's efforts to destroy Zadaa.,1st S&S ed.,English
16248078,The English Girl,Daniel Silva,482 pages,Hardcover,20471,4.08,One girl,First Edition (U.S.),English
243598,The Sheltering Sky,Paul Bowles,342 pages,Paperback,19977,3.91, explores the limits of humanity when it touches the unfathomable emptiness and impassive cruelty of the desert.,Penguin Red Classics,English
250024,The City and the Stars,Arthur C. Clarke,255 pages,Paperback,21170,4.08,"Arthur C. Clarke was one of the most important and influential figures in 20th century science fiction. He spent the first half of his life in England, where he served in World War Two as a radar operator, before emigrating to Ceylon in 1956. He is best known for the novel and movie ",SF Masterworks,English
16124019,Waking Up Married,Mira Lyn Kelly,251 pages,Kindle Edition,24283,3.53,"USA TODAY bestselling author Mira Lyn Kelly grew up in the Chicago area and earned her degree in Fine Arts from Loyola University. She met the love of her life while studying abroad in Rome, Italy, only to discover he’d been living right around the corner from her back home. Having spent her twenties working and play",Harlequin KISS,"
                  "
99245,Nightfall,Isaac Asimov,339 pages,Paperback,22830,4.01,"Professor Asimov is generally considered the most prolific writer of all time, having written or edited more than 500 books and an estimated 90,000 letters and postcards. He has works published in nine of the te",Spectra,English
10400407,في ديسمبر تنتهي كل الأحلام,أثير عبدالله النشمي,182 pages,Paperback,17529,3.33,"أنا مُكتئب , مُكتئب جداً ! .. وعادة لا تُصيبني الكآبة أثناء كتابتي لأيِ عمل ,أنا رجُل لطالما أحب مرحلة الكتابة .. رجلُ يستمتع بكُلِ ما يُصاحب تلك الفترةِ المُرهقة من أرقِ وألمِ وتضارب في المشاعر , لكنني وما أن يرى كتابي النور حتى أُصاب باكتئابِ مابعد "" الكتابة "" , فأكره كتابي "" الوليد "" لدرجةِ أشعر معها بالرغبةِ في أن أوئده وأتلفَ كُل نسخه , لكن حالة الكآبة بدأت مُبكرة هذه المرة , .. استبقتْ كآبتي نوفمبر واستبقت أيضاً روايتي الجديدة .. ولا أدري أن كُنت قادراً على أن أصمدَ حتى يناير القادم أو حتى إصدار الرواية !",الطبعة الأولى,Arabic
