GoodReadAverageRating,numberofpages,author,bookformat,NumberofRatings,Language,description,id,bookEdition,title
3.9,307 pages,P.C. Cast,Paperback,190301,English,"Dark forces are at work at the House of Night and Zoey Redbird’s adventures at the school take a mysterious turn. Her best friend, Stevie Rae, is undead and struggling to maintain a grip on her humanity. Zoey finds herself in the very unexpected and rare situation of having three boyfriends. Mix a little bloodlust into the equation and the situation has the potential to spell social disaster. Just when it seems things couldn’t get any tougher, vampyres start turning up dead. Really dead. It looks like the People of Faith are tired of living side-by-side with vampyres. But, as Zoey and her friends so often find out, how things appear rarely affects the truth…",1326258,First Edition,Chosen: A House of Night Novel
3.92,436 pages,Stephen King,Hardcover,151395,English,"In another part of town, months l",18775247,1st Edition,Mr. Mercedes
3.8,112 pages,Richard Bach,Paperback,152004,English,Jonathan Livingston Seagull is no ordinary bird. He beli,71728,pocket-book,Jonathan Livingston Seagull
3.89,452 pages,Lauren Kate,Hardcover,182425,English,"In the aftermath of what happened at Sword & Cross, Luce has been hidden away by her cursed angelic boyfriend, Daniel, in a new school filled with Nephilim, the offspring of fallen angels and humans. Daniel promises she will be safe here, protected from those who would kill her. At the school Lu",7740152,1st Edition,Torment
3.83,688 pages,E.H. Gombrich,Hardcover,172647,English,"This text is the 16th revised and updated edition of this introduction to art, from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot, Kollwitz, Nolde, de Chirico, Brancussi, Magritte, Nicolson and Morandi. A sequence of new ""endings"" have been added, and the captions are now fuller, including the medium and dimension of the works illustrated. Six fold-outs present selected large-scale works. They are: Van Eyck's ""Ghent Altarpiece"", Leonardo's ""Last Supper"", Botticelli's ""Birth of Venus"", Jackson Pollock's ""One (Number 31, 1950)"", Van der Weyden's ""Descent from the Cross"" and Michelangelo's Sistine Chapel ceiling.",222078,16th edition,The Story of Art
4.0,400 pages,Margaret Atwood,Paperback,168749,English," is at once an unforgettable love story and a compelling vision of the future. Snowman, known as Jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, Crake, and the beautiful and elusive Oryx whom they both loved. In search of answers, Snowman embarks on a journey–with the help of the green-eyed Children of Crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. Margaret Atwood projects us into a near future that is both all too familiar and beyond our imagining.",46756,US,Oryx and Crake
4.3,454 pages,Marissa Meyer,Hardcover,215764,English,"Halfway around the world, Scarlet Benoit’s grandmother is missing. When Scarlet encounters Wolf, a street fighter who may have information as to her",13206760,1st,Scarlet
4.0,312 pages,Anthony Bourdain,Paperback,146862,English,"New York Chef Tony Bourdain gives away secrets of the trade in his wickedly funny, inspiring memoir/expose. ",33313,Updated Edition,Kitchen Confidential: Adventures in the Culinary Underbelly
3.65,329 pages,Gustave Flaubert,Paperback,188403,English,"When Emma Rouault marries Charles Bovary she imagines she will pass into the life of luxury and passion that she reads about in sentimental novels and women's magazines. But Charles is a dull country doctor, and provincial life is very different from the romantic excitement for which she yearns. In her quest to realize her dreams she takes a lover, and begins a devastating spiral into deceit and despair.",2175,Oxford World's Classics,Madame Bovary
4.19,242 pages,Frances Hodgson Burnett,Paperback,218696,English,", one o",3008,Penguin Classics,A Little Princess
4.42,608 pages,Richelle Mead,Hardcover,219387,English," Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided th",6527740,1st Edition,Last Sacrifice 
4.04,323 pages,David Sedaris,Hardcover,157714,English, confirms once again that David Sedaris is a master of mystery and su,1044355,US,When You Are Engulfed in Flames
4.04,422 pages,Laini Taylor,Hardcover,231485,English,"In a dark and dusty shop, a devil’s supply of human teeth grows dangerously low.",8490112,US,Daughter of Smoke & Bone
4.06,246 pages,William Shakespeare,Mass Market Paperback,186492,English,"The action is set in Sicily, where Don Pedro, Prince of Aragon, has recently defeated his half-brother, the bastard Don John, in a military engagement. Apparently reconciled, they return to the capital, Messina, as guests of the Governor, Leonato. There Count Claudio, a young nobleman serving in Don Pedro's army, falls in love with Hero, Leonato's daughter, whom Don Pedro woos on his behalf. The play's central plot shows how Don John maliciously deceives Claudio into believing that Hero has taken a lover on the eve of her marriage, causing Claudio to repudiate her publicly, at the altar.",12957,Folger Shakespeare Library Edition,Much Ado About Nothing
4.1,176 pages,J.M. Barrie,Hardcover,197840,English,"Peter Pan, the book based on J.M. Barrie's famous play, is filled with unforgettable characters: Peter Pan, the boy who would not grow up; the fairy, Tinker Bell; the evil pirate, Captain Hook; and the three children--Wendy, John, and Michael--who fly off with Peter Pan to Neverland, where they meet Indians and pirates and a crocodile that ticks. Renowned children's-book artist Michael Hague has brought the amazing adventures of Peter Pan to life. His beautiful illustrations capture the wild, seductive power of this classic book. This newly designed edition will be enjoyed by fans young and old alike.",34268,100th Anniversary Edition,Peter Pan
3.89,288 pages,Jeff Lindsay,Paperback,158941,English,"Meet Dexter Morgan, a polite wolf in sheep's clothing. He's handsome and charming, but something in his past has made him abide by a different set of rules. He's a serial killer whose one golden rule makes him immensely likeable: he only kills bad people. And his job as a blood splatter expert for the Miami police department puts him in the perfect position to identify his victims. But when a series of brutal murders bearing a striking similarity to his own style start turning up, Dexter is caught between being flattered and being frightened -- of himself or some other fiend.",17231,Media Tie-In; Vintage Crime / Black Lizard; US / CAN,Darkly Dreaming Dexter
