GoodReadAverageRating,numberofpages,author,bookformat,NumberofRatings,Language,description,id,bookEdition,title
3.88,331 pages,Vladimir Nabokov,Paperback,521162,", ","Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.",7604,"New Edition, Penguin Modern Classics",Lolita
3.99,75 pages,John Grisham,Paperback,490933,English,"""Long before his name became synonymous with the modern legal thriller, he was working 60-70 hours a week at a small Southaven, Mississippi law practice, squeezing in time before going to the office and during courtroom recesses to work on his hobby—writing his first novel.",5358,Penguin Readers,The Firm
4.22,1276 pages,Alexandre Dumas,Paperback,605021,English,"Thrown in prison for a crime he has not committed, Edmond Dantès is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to unearth the treasure and use it to plot the destruction of the three men responsi",7126,Penguin Classics,Le Comte de Monte-Cristo
3.95,241 pages,Cormac McCarthy,Hardcover,558985,English,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits",6288,First Edition,The Road
3.63,526 pages,Veronica Roth,Hardcover,667767,English,"The faction-based society that Tris Prior once believed in is shattered - fractured by violence and power struggles and scarred by loss and betrayal. So when offered a chance to explore the world past the limits she's known, Tris is ready. Perhaps beyond the fence, she and Tobias will find a simple new life together, free from complicated lies, tangled loyalties, and painful memories.",18710190,UK Hardcover,Allegiant
3.87,532 pages,E.L. James,Paperback,625675,English,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, ",11857408,First Edition,Fifty Shades Darker
3.98,488 pages,Bram Stoker,Paperback,697659,English,"A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.",17245,Norton Critical Edition,Dracula
4.22,752 pages,Stieg Larsson,Mass Market Paperback,654465,English,"When a young couple are found dead in their Stockholm apartment, it's a",5060378,First US Edition,Flickan som lekte med elden
4.06,254 pages,Oscar Wilde,Paperback,682348,English,"﻿Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in ",5297,Modern Library Classics,The Picture of Dorian Gray
3.93,320 pages,Steven D. Levitt,Hardcover,551371,English,These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economi,1202,Revised and Expanded Edition,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
4.02,384 pages,James Dashner,Hardcover,789556,English,"Outside the towering stone walls that surround the Glade is a limitless, ever-changing ma",6186357,First Edition,The Maze Runner
4.25,398 pages,William Goldman,Paperback,659744,English,"As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",21787,30th Anniversary Edition,The Princess Bride
4.3,120 pages,Elie Wiesel,Paperback,713782,English," is Elie Wiesel's masterpiece, a candid, horrific, and deeply poignant autobiographical account of his survival as a teenager in the Nazi death camps. This new translation by Marion Wiesel, Elie's wife and frequent translator, presents this seminal memoir in the language and spirit truest to the author's original intent. And in a substantive new preface, Elie reflects on the enduring importance of Night and his lifelong, passionate dedication to ensuring that the world never forgets man's capacity for inhumanity to man.",1617,First Printing Edition,Un di Velt Hot Geshvign
3.81,489 pages,Charles Dickens,Paperback,681546,English,"After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine.",1953,"Penguin, UK / CAN / USA",A Tale of Two Cities
4.24,288 pages,Jeannette Walls,Paperback,648345,English," is a remarkable memoir of resilience and redemption, and a revelatory look into a family at once deeply dysfunctional and uniquely vibrant. When sober, Jeannette's brilliant and charismatic father captured his children's imagination, teaching them physics, geology, and how to embrace life fearlessly. But when he drank, he was dishonest and destructive. Her mother was a free spirit who abhorred the idea of domesticity and didn't want the responsibility of raising a family.",7445,First edition,The Glass Castle
4.06,409 pages,Jane Austen,Paperback,781882,English,"Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love—and its threatened loss—the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.",14935,Penguin Classics,Sense and Sensibility
3.75,273 pages,Mary Wollstonecraft Shelley,Paperback,890904,English," when she was only eighteen. At once a Gothic thriller, a passionate romance, and a cautionary tale about the dangers of science, ",18490,Penguin Classics,"Frankenstein; or, The Modern Prometheus"
4.3,324 pages,Orson Scott Card,Mass Market Paperback,880040,English,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.",375802,Author's Definitive Edition,Ender's Game
4.07,525 pages,Veronica Roth,Hardcover,952961,English,Tris's initiation day should have been marked by celebration,11735983,First Edition,Insurgent
4.15,184 pages,E.B. White,Paperback,1096812,English,"Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the l",24178,Full Color Edition,Charlotte's Web
3.85,226 pages,Mark Haddon,Paperback,920911,English,"Although gifted with a superbly logical brain, for fifteen-year-old Christopher everyday interactions and admonishment",1618,Vintage Contemporaries,The Curious Incident of the Dog in the Night-Time
3.69,629 pages,Stephenie Meyer,Hardcover,1181321,English,"As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob - knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which?",428263,First Edition,Eclipse
3.7,756 pages,Stephenie Meyer,Hardcover,1111046,English,"To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, she has endured a tumultuous year of temptation, loss, and strife to reach the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.",1162543,First Edition,Breaking Dawn
3.52,563 pages,Stephenie Meyer,Hardcover,1203898,English, ,49041,First Edition,"New Moon (Twilight, #2)"
4.1,507 pages,Charlotte Brontë,Paperback,1290643,English,"Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school, Jane Eyre nonetheless emerges unbroken in spirit and integrity. She takes up the post of governess at Thornfield, falls in love with Mr. Rochester, and discovers the impediment to their lawful marriage in a story that transcends melodrama to portray a woman's passionate search for a wider and richer life than Victorian society traditionally allowed.",10210,Penguin Classics,Jane Eyre
4.19,206 pages,C.S. Lewis,Paperback,1601226,English,"NARNIA...the land beyond the wardrobe, the secret country known only to Peter, Susan, Edmund, and Lucy...the place where the adventure begins.",100915,Film Tie-in Edition,"The Lion, the Witch and the Wardrobe"
3.84,112 pages,John Steinbeck,Paperback,1529895,English,"The compelling story of two outsiders striving to find their place in an unforgiving world. Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. Eventually they find work on a ranch in California’s Salinas Valley, but their hopes are doomed as Lennie, struggling against extreme cruelty, misunderstanding and feelings of jealousy, becomes a victim of his own strength. Tackling universal themes such as the friendship of a shared vision, and giving voice to America’s lonely and dispossessed, ",890,Steinbeck Centennial Edition,Of Mice and Men 
4.23,377 pages,Rick Riordan,Paperback,1430739,English,. ,28187,First edition,The Lightning Thief
3.74,283 pages,William Shakespeare,Mass Market Paperback,1683793,English,", Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rath",18135,New Folger edition,An Excellent conceited Tragedie of Romeo and Juliet
3.64,182 pages,William Golding,Paperback,1684728,English,The boys' struggle to find a way of existing in a community with no fixed boundaries i,7624,Penguin Great Books of the 20th Century,Lord of the Flies 
4.08,434 pages,Arthur Golden,Hardcover,1426217,English,In ,930,Large Print,Memoirs of a Geisha
4.53,734 pages,J.K. Rowling,Paperback,1886304,English,And now that he’s gotten the hang of things at Hogwarts—he ho,6,First Scholastic Trade Paperback Edition,Harry Potter and the Goblet of Fire
4.38,341 pages,J.K. Rowling,Hardcover,1925110,English,And strike it does. For in Harry's second year at Ho,15881,First American Edition,Harry Potter and the Chamber of Secrets
4.03,392 pages,Suzanne Collins,Hardcover,1881176,English,It is by design that Katniss was rescued fr,7260188,First Edition,Mockingjay
4.34,374 pages,Suzanne Collins,Hardcover,4991107,English,"The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.",2767052,First Edition,The Hunger Games
4.61,759 pages,J.K. Rowling,Hardcover,1863821,English,Their cross-country odyssey has them searching desperately fo,136251,First American Edition,Harry Potter and the Deathly Hallows
