bookEdition,NumberofRatings,title,author,id,description,numberofpages,GoodReadAverageRating,Language,bookformat
1st Hardcover Edition,20798,Grim Tuesday,Garth Nix,47620,"Arthur doesn't think he will ever have to return to the strange house that nearly killed him on Monday -- the house that contains an entire world. But Tuesday brings new challenges -- in the form of an enemy named Grim Tuesday, who threatens the well-being of both Arthur's family and his world. Arthur",336 pages,3.86,English,Hardcover
First Edition,17688,Imperium,Robert   Harris,243601,"When Tiro, the confidential secretary (and slave) of a Roman senator, opens the door to a terrified stranger on a cold November morning, he sets in motion a chain of events that will eventually propel his master into one of the most suspenseful courtroom dramas in history. The stranger is a Sicilian, a victim of the island's corrupt Roman governor, Verres. The senator is Marcus Cicero -- an ambitious young lawyer and spellbinding orator, who at the age of twenty-seven is determined to attain ",305 pages,4.05,English,Hardcover
First American,22200,Nutshell,Ian McEwan,30008702,"Told from a perspective unlike any other, ",197 pages,3.71,English,Hardcover
Trade,22608,"Sex Criminals, Volume One: One Weird Trick",Matt Fraction,19536001,: ,128 pages,3.98,English,Paperback
The New Cambridge Shakespeare,20110,The Winter's Tale,William Shakespeare,44133,"The New Cambridge Shakespeare appeals to students worldwide for its up-to-date scholarship and emphasis on performance. The series features line-by-line commentaries and textual notes on the plays and poems and an extensive introduction. The Winter's Tale is one of Shakespeare's most varied, theatrically self-conscious, and emotionally wide-ranging plays. Much of the play's copiousness inheres in its generic intermingling of tragedy, comedy, romance, pastoral, and the history play. In addition to dates and sources, the introduction attends to iterative patterns, the nature and cause of Leontes' jealousy, the staging and meaning of the bear episode, and the thematic and structural implications of the figure of Time. Special attention is paid to the ending and its tempered happiness. Performance history is integrated throughout the introduction and commentary. Appendices include the theatrical practice of doubling.",279 pages,3.69,English,Paperback
25th Anniversary Edition; Reading Rainbow Book,20389,A Chair for My Mother ,Vera B. Williams,835202,"Graduate of Black Mountain College, North Carolina, where she majored in graphic art. In her own words, she has ""done graphic art, school teaching, children-raising [she has two daughters and a son], has run a bakery and been a cook in schools and restaurants."" (from back flap of book)",32 pages,4.2,English,Paperback
Trade,19344,"Fables, Volume 6: Homelands",Bill Willingham,21328,"Having beaten back the Adversary's first advance into their world, the residents of Fabletown must now prepare themselves for the full-scale war that is sure to follow. For one particular Fable, this means skipping town to launch a new career as a venal Hollywood mogul - a path he hopes will be paved with gold and immortality. For another Fable, though, it means a journey down a much more dangerous road - one that winds through the Fables' old Homelands into the very heart of enemy territory, where the mystery of the Adversary's identity will finally be revealed! ",192 pages,4.3,English,Paperback
First Edition,15752,The Evolutionary Void,Peter F. Hamilton,7438179,"Exposed as the Second Dreamer, Araminta has become the target of a galaxywide search by government agent Paula Myo and the psychopath known as the Cat, along with others equally determined to prevent-- or facilitate --the pilgrimage of the Living Dream cult into the heart of the Void. An indestructible microuniverse, the Void may contain paradise, as the cultists believe, but it is also a deadly threat. For the miraculous reality that exists inside its boundaries demands energy--energy drawn from everything outside those boundaries: from planets, stars, galaxies... from everything that lives. ",694 pages,4.26,English,Hardcover
Omnibus,19574,The Forbidden Game,L.J. Smith,7100490,But as Jenny and her six friends begin to play the Game at Tom's birthday cele,750 pages,4.19,English,Paperback
First Edition,19422,Peter and the Secret of Rundoon,Dave Barry,555500,"In this action-packed conclusion to the Starcatchers trilogy, Peter and Molly find themselves in the dangerous land of Rundoon, ruled by the evil King Zarboff, who takes great delight in watching his pet snake, Kundalini, consume anyone who displeases him. But that's just the start of the trouble facing our heroes, who once again find themselves pitted against the evil shadow creature Lord Ombra, in a struggle to save themselves and Molly's father - not to mention the entire planet - from an unthinkable end. Meanwhile, back in Never Land, a tribal war is under way, and while Peter is off fighting to save the world, a young Mollusk princess has no choice but to join forced with sinister pirates to save her island from the vicious Scorpions.",482 pages,4.16,English,Hardcover
