title,id,description,Language,bookformat,bookEdition,NumberofRatings,GoodReadAverageRating,author,numberofpages
The Fixer Upper,5941079,"After her boss in a high-powered Washington public relations firm is caught in a political scandal, fledgling lobbyist Dempsey Jo Killebrew is left almost broke, unemployed, and homeless. Out of options, she reluctantly accepts her",English,Hardcover,First edition,15925,3.88,Mary Kay Andrews,422 pages
Ricochet,30343,"When Detective Sergeant Duncan Hatcher is summoned to the home of Judge Cato Laird in the middle of the night to investigate a fatal shooting, he knows discretion and k",English,Paperback,Canadian Trade Export Edition,14917,3.97,Sandra Brown,400 pages
Blod på snø,23602504,This is the story of Olav: an extremely talented “fixer” for one of Oslo’s most powerful crime bosses. But Olav is,English,Hardcover,American Edition,14183,3.51,Jo Nesbø,207 pages
Dust & Decay,9917998,"Six months have passed since the terrifying battle with Charlie Pink-eye and the Motor City Hammer in the zombie-infested mountains of the Rot & Ruin. It’s also six months since Benny Imura and Nix Riley saw something in the air that changed their lives. Now, after months of rigorous training with Benny’s zombie-hunter brother Tom, Benny and Nix are ready to leave their home forever and search for a better future. Lilah the Lost Girl and Benny’s best friend Lou Chong are going with them. ",English,Hardcover,1st Edition,14651,4.29,Jonathan Maberry,519 pages
One More Chance,17835766,"Harlow had taken the chance, falling hard and fast for the guy who thrilled her with his all-co","
                  ",Kindle Edition,1st edition,25486,4.29,Abbi Glines,273 pages
The Golden Notebook,24100,"Both of her parents were British: her father, who had been crippled in World War I, was a clerk in the Imperial Bank of Persia; her mother had been a nurse. In 1925, lured by the promise of getting rich through maize farming, the family moved to the British colony in Southern Rhodesia (now Zimbabwe). Like other women writers from southern African who did not graduate from high school (such as ",English,Paperback,Perennial Classics edition,15484,3.75,Doris Lessing,640 pages
Odd and the Frost Giants,2108198,"And Odd has run away from home, even though he can barely walk and has to use a crutch.",English,Paperback,World Book Day Edition,20478,3.94,Neil Gaiman,104 pages
B00DGK7WAM,18089551,"Logan Reed is tall, tatted and tempting. Kit’s a woman with a mean right hook and a secret.",                                  ,Kindle Edition,First Edition,25110,4.22,Tammy Falkner,323 pages
The Prisoner of Zenda,54492,"Anthony Hope's swashbuckling romance transports his English gentleman hero, Rudolf Rassendyll, from a comfortable life in London to fast-moving adventures in Ruritania, a mythical land steeped in political intrigue. Rassendyll bears a striking resemblance to Rudolf Elphberg who is about to be crowned King of Ruritania. When the rival to the throne, Black Michael of Strelsau, attempts to seize power by imprisoning Elphberg in the Castle of Zenda, Rassendyll is obliged to impersonate the King to uphold the rightful sovereignty and ensure political stability. Rassendyll endures a trial of strength in his encounters with the notorious Rupert of Hentzau, and a test of a different sort as he grows to love the Princess Flavia. Five times filmed, The Prisoner of Zenda has been deservedly popular as a classic of romance and adventure since its publication in 1894.",English,Paperback,Penguin Popular Classics,14817,3.87,Anthony Hope,157 pages
Coraline,1967070,"But there's another mother there and another father, and they want",English,Hardcover,Graphic Novel,16333,3.96,Neil Gaiman,192 pages
Black Lies,22471294,Became a tech billionaire by his twentieth birthday. Has been in a relationship with me for 3 years.,", ",Kindle Edition,1st Edition,23060,4.32,Alessandra Torre,290 pages
Measure for Measure,91571,Claudio’s,English,Paperback,Folger Shakespeare Library,17692,3.67,William Shakespeare,336 pages
Gunmetal Magic,12288282,"Bonus: Kate Daniels novella ""Magic Gi","
                  ",ebook,1st Edition,24621,4.27,Ilona Andrews,326 pages
The Soulkeepers (The Soulkeepers #1),10897866,"But in exchange she requires Jacob to train as a Soulkeeper, a protector of human souls. He agrees to h",English,Paperback,1st Edition,13578,3.71,G.P. Ching,308 pages
The Beast,25293695,"Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger than ever, preying on human weakness to acquire more money, more weapons, more power. But as the Brotherhood readies for an all-out attack on them, one of their own fights a battle within himself…",English,Hardcover,First Edition,18218,4.45,J.R. Ward,508 pages
محال,11995136,بطل هذه الرواية شاب مصري سوداني يتسم بالبراءة والتدين، ويعمل كمرشد سياحي في الأقصر وأسوان. كانت أقصى أحلام هذا الشاب هي الزواج من فتاة نوبية جميلة ليبدأ حياة سعيدة هانئة، ولكن نظام حياته المسالم والممل ينقلب رأسا على عقب بعد مقابلة مع أسامة بن لادن في السودان في أوائل التسعينيات.,"
                  ",Paperback,الطبعة الرابعة,10151,3.31,يوسف زيدان,244 pages
Midnight Crossroad,18107951,"Though her early output consisted largely of ghost stories, by the time she hit college (Rhodes, in Memphis) Charlaine was wr",English,Hardcover,First Edition,20440,3.64,Charlaine Harris,305 pages
"Far from the Tree: Parents, Children, and the Search for Identity",13547504," is that being exceptional is at the core of the human condition—that difference is what unites us. He writes about families coping with deafness, dwarfism, Down's syndrome, autism, schizophrenia, or multiple severe disabilities; with children who are prodigies, who are conceived in rape, who become criminals, and who are",English,Hardcover,US / Canada,13360,4.26,Andrew Solomon,976 pages
The Raw Shark Texts,144800,"Eric Sanderson wakes up in a house one day with no idea who or where he is. A note instructs him to see a Dr. Randle immediately, who informs him that he is undergoing yet another episode of acute memory loss that is a symptom of his severe dissociative disorder. Eric's been in Dr. Randle's care for two years -- since the tragic death of his great love, Clio, while the two vacationed in the Greek islands.",English,Hardcover,First Edition,13886,3.87,Steven Hall,427 pages
Kiss the Dead,12383252,But even,English,Hardcover,First Edition,20666,3.79,Laurell K. Hamilton,359 pages
How to Talk So Teens Will Listen and Listen So Teens Will Talk,769016,Recently revised and updated with fresh insights and su,English,Paperback,20th Anniversary Edition,14125,4.24,Adele Faber,286 pages
Saving June,10947600,"Harper Scott’s older sister has always been the perfect one — so when June takes her own life a week before her high school graduation, sixteen-year-old Harper is devastated. Everyone’s sorry, but no one can explain why.",English,Paperback,Australian,16296,3.97,Hannah Harrington,336 pages
9780425208847,168571, bestselling series. Lucas Davenport goes on a city-to-city search for a bizarre ritualistic killer.,"
                ",Paperback,Mass Market Paperback,16835,3.99,John Sandford,449 pages
Ruthless,10429037,Aria's love life is on the fritz. Emily's exploring her wild side. Hanna's kissing the enemy. And someo,English,Hardcover,First Edition,17936,3.93,Sara Shepard,339 pages
"Being a Green Mother (Incarnations of Immortality, #5)",76661,"Though he spent the first four years of his life in England, Piers never returned to live in his country of birth after moving to Spain and immigrated to America at age six. After graduating with a B.A. from Goddard College, he married one of his fellow students and and spent fifteen years in an assortment of professions before he began writing fiction full-time.",English,Paperback,LCC 8747742,16035,3.95,Piers Anthony,314 pages
Tiger's Destiny,12677913,"It's a race against time, and the evil sorcerer Lokesh,",English,Hardcover,1st Edition,19521,4.41,Colleen Houck,464 pages
Cold Vengance,9489502,"Devastated by the discovery that his wife, Helen, was murdered, Special Agent Pendergast must have retribution. But revenge is not simple. As he stalks his wife's betrayers—a chase that takes him from the wild moors of Scotland to the bustling streets of New York City and the darkest bayous of Louisiana—he is also forced to dig further into Helen's past. And he is stunned to learn that Helen may have been a collaborator in her own murder.",English,Hardcover,"First  Edition, Large Print",16882,4.09,Douglas Preston,545 pages
One Silent Night,3122173,"While the world carries on unawares, Stryker, who leads an army of demons and vampires, is plotting an all out onslaught against his enemies—which, unfortunately for us, includes the entire human race. To avenge his sister, Stryker prepares to annihilate the Dark-Hunters. But things go awry when his oldest enemy returns. Enter his ex-wife. Zephyra. Just when he thought nothing could stop him, he's now embroiled in a centuries old war with a shrew who gives new meaning to pain.",English,Paperback,1st Edition,23399,4.13,Sherrilyn Kenyon,310 pages
Old Possum's Book of Practical Cats,402128," was a poet, dramatist and literary critic. He received the Nobel Prize in Literature in 1948 ""for his outstanding, pioneer contribution to present-day poetry."" He wrote the poems ",English,Hardcover,Illustrated Edition,17608,4.09,T.S. Eliot,56 pages
Sempre,13111733,"Both now seventeen, a twist of fate causes their worlds to colli",English,Paperback,1st edition,23681,4.2,J.M. Darhower,530 pages
Hollywood Dirt,25802884,!,"
                  ",Kindle Edition,1st Edition,22442,4.12,Alessandra Torre,414 pages
Dark Gold (Dark #3),108385,And out of the darkn,English,Mass Market Paperback,2nd Edition,21078,4.16,Christine Feehan,382 pages
"The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3)",62485,"As one of the fantasy genre’s most successful authors, R.A. Salvatore enjoys an ever-expanding and tremendously loyal following. His books regularly appear on The New York Times best-seller lists and have sold more than 10,000,000 copies. Salvatore’s original hardcover, The Two Swords, Book III of The Hunter’s Blade Trilogy (October 2004) debuted at # 1 on The Wall Street Journal best-seller list and at # 4 on The New York Times best-seller list. His books have been translated into numerous foreign languages including German, Italian, Finnish, Greek, Hungarian, Turkish, Croatian, Bulgarian, Yiddish, Spanish, Russian, Polish, Portuguese, Czech, and French.",English,Paperback,Collector's Edition,12810,4.28,R.A. Salvatore,1040 pages
"Sons of Destiny (Cirque Du Freak, Book 12)",8948,Librarian's note: Also writes books for adults under the name ,English,Hardcover,First US Edition,16542,4.22,Darren Shan,240 pages
Armor,102327,"Felix is an Earth soldier, encased in special body armor designed to withstand Earth's most implacable enemy-a bioengineered, insectoid alien horde. But Felix is also equipped with internal mechanisms that enable him, and his fellow soldiers, to survive battle situations that would destroy a man's mind.",English,Mass Market Paperback,Daw #605,14266,4.12,John Steakley,426 pages
The Black Cat,391724,"The name Poe brings to mind images of murderers and madmen, premature burials, and mysterious women who return from the dead. His works have been in print since 1827 and include such literary classics as ",English,Paperback,BookSurge Classics,19129,4.07,Edgar Allan Poe,24 pages
House of Suns,1126719,"Six million years ago, at the dawn of the star-faring era, Abigail Gentian fractured herself into a thousand male and female clones, which she called shatterlings. But now, someone is eliminating the Gentian line. Campion and Purslane-two shatterlings who have fallen in love and shared forbidden experiences-must determine exactly who, or what, their enemy is, before they are wiped out of existence.",English,Paperback,Free edition with SFX magazine-August 2010,14899,4.19,Alastair Reynolds,512 pages
