id,numberofpages,description,bookEdition,author,title,GoodReadAverageRating,NumberofRatings,Language,bookformat
114345,2700 pages,"Ingalls wrote a series of historical fiction books for children based on her childhood growing up in a pioneer family. She also wrote a regular newspaper column and kept a diary as an adult moving from South Dakota to Missouri, the latter of which has been published as a book.",Box Set,Laura Ingalls Wilder,The Little House Collection,4.33,129150,English,Boxed Set
518848,491 pages,"With Sabriel, the first installment in the Abhorsen seri",First American Edition,Garth Nix,Sabriel,4.17,146899,English,Mass Market Paperback
28881,444 pages,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams""-",1st Perennial,Christopher Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26,126532,English,Paperback
759611,24 pages,"The book itself has little to no plot. Instead, the narrator asks various animals what they see with the response usually being another animal, the",25th Anniversary Edition,Bill Martin Jr.,"Brown Bear, Brown Bear, What Do You See?",4.19,127729,English,Board book
5308,96 pages,"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…",Centennial Edition,John Steinbeck,The Pearl of the World,3.41,147238,English,Paperback
7937462,178 pages,"All Bree knows is that living with her fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and abo",First Edition,Stephenie Meyer,The Short Second Life of Bree Tanner,3.51,160351,English,Hardcover
53496,280 pages,"Instantly, Phoebe Winterbottom came to mind. ""I could tell you an extensively strange story,"" I warned.",Summer Reading Edition,Sharon Creech,Walk Two Moons,3.95,133515,English,Paperback
4687,973 pages,"Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...",Large Print,John Irving,The Cider House Rules,4.1,134974,English,Hardcover
33507,394 pages,Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels ,"Extraordinary Voyages, #6",Jules Verne,Vingt Mille Lieues Sous les Mers,3.86,149950,English,Hardcover
18214414,455 pages,"When novelist Owen Quine goes missing, his wife calls in private detective Cormoran Strike. At first, Mrs. Quine just thinks her husband has gone off by himself for a few days—as he has done before—and she wants Strike to find him and bring him home.",US edition,Robert Galbraith,The Silkworm,4.03,147752,English,Hardcover
13539044,289 pages,"Meet Pat. Pat has a theory: his life is a movie produced by God. And his God-given mission is to become physically fit and emotionally literate, whereupon God will ensure a happy ending for him -- the return of his estranged wife Nikki. (It might not come as a surprise to learn that Pat has spent time in a mental health facility.) The problem is, Pat's now home, and everything feels off. No one will talk to him about Nikki; his beloved Philadelphia Eagles keep losing; he's being pursued by the deeply odd Tiffany; his new therapist seems to recommend adultery as a form of therapy. Plus, he's being hunted by Kenny G!",Movie Tie-in Edition,Matthew Quick,The Silver Linings Playbook,4.0,130050,English,Paperback
54479,252 pages,"One ill-fated evening at the Reform Club, Phileas Fogg rashly bets his companions £20,000 that he can travel around the entire globe in just eighty days - and he is determined not to lose. Breaking the well-establised routine of his daily life, the reserved Englishman immediately sets off for Dover, accompanied by his hot-blooded French manservant Passepartout. Travelling by train, steamship, sailing boat, sledge and even elephant, they must overcome storms, kidnappings, natural disasters, Sioux attacks and the dogged Inspector Fix of Scotland Yard - who believes that Fogg has robbed the Bank of England - to win the extraordinary wager. ",Extraordinary Voyages #11,Jules Verne,Le tour du monde en quatre-vingts jours,3.91,142164,English,Paperback
1067,386 pages,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.",US / Canada,David McCullough,1776,4.06,137300,English,Paperback
10569,320 pages, upon the publication of Stephen King's ,US / CAN,Stephen King,On Writing: A Memoir of the Craft,4.31,153699,English,Mass Market Paperback
14201,1006 pages,"English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could c",First Tor Edition,Susanna Clarke,Jonathan Strange & Mr Norrell,3.8,156072,English,Paperback
15731779,356 pages,"No one knows how much he risked for me. How much I'd been threatened, or just how dark and desperate the shadow of our pas",First Edition,Sylvia Day,Entwined with You,4.19,158370,English,Paperback
6690798,766 pages,"First, the unthinkable: a security breach at a secret U.S. government facility unleashes the monstrous product of a chilling military experiment. Then, the unspeakable: a night of chaos and carnage gives way to sunrise on a nation, and ultimately a world, forever altered. All that remains for",USA,Justin Cronin,The Passage,4.04,146984,English,Hardcover
15812814,367 pages,The books you read. ,Reprint Edition,Ally Condie,Crossed,3.52,180621,English,Paperback
7664041,849 pages,... It ends with ,First Edition,Christopher Paolini,Inheritance,4.08,164151,English,Hardcover
93,352 pages,"Orphaned Heidi lives with her gruff but caring grandfather on the side of Swiss mountain, where she befriends young Peter the goat-herd. She leads an idyllic life, until she is forced to leave the mountain she has always known to go and live with a sickly girl in the city. Will Heidi ever see her grandfather again? A classic tale of a young girl's coming-of-age, of friendship, and familial love.",Kingfisher Classics,Johanna Spyri,Heidi,3.97,155118,English,Hardcover
1326258,307 pages,"Dark forces are at work at the House of Night and Zoey Redbird’s adventures at the school take a mysterious turn. Her best friend, Stevie Rae, is undead and struggling to maintain a grip on her humanity. Zoey finds herself in the very unexpected and rare situation of having three boyfriends. Mix a little bloodlust into the equation and the situation has the potential to spell social disaster. Just when it seems things couldn’t get any tougher, vampyres start turning up dead. Really dead. It looks like the People of Faith are tired of living side-by-side with vampyres. But, as Zoey and her friends so often find out, how things appear rarely affects the truth…",First Edition,P.C. Cast,Chosen: A House of Night Novel,3.9,190322,English,Paperback
76778,182 pages,The Martian Chronicles tells the story of humanity’s repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dw,Grand Master Edition,Ray Bradbury,The Martian Chronicles,4.12,157797,English,Mass Market Paperback
18775247,436 pages,"In another part of town, months l",1st Edition,Stephen King,Mr. Mercedes,3.92,151395,English,Hardcover
71728,112 pages,Jonathan Livingston Seagull is no ordinary bird. He beli,pocket-book,Richard Bach,Jonathan Livingston Seagull,3.8,152004,English,Paperback
7740152,452 pages,"In the aftermath of what happened at Sword & Cross, Luce has been hidden away by her cursed angelic boyfriend, Daniel, in a new school filled with Nephilim, the offspring of fallen angels and humans. Daniel promises she will be safe here, protected from those who would kill her. At the school Lu",1st Edition,Lauren Kate,Torment,3.89,182425,English,Hardcover
222078,688 pages,"This text is the 16th revised and updated edition of this introduction to art, from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot, Kollwitz, Nolde, de Chirico, Brancussi, Magritte, Nicolson and Morandi. A sequence of new ""endings"" have been added, and the captions are now fuller, including the medium and dimension of the works illustrated. Six fold-outs present selected large-scale works. They are: Van Eyck's ""Ghent Altarpiece"", Leonardo's ""Last Supper"", Botticelli's ""Birth of Venus"", Jackson Pollock's ""One (Number 31, 1950)"", Van der Weyden's ""Descent from the Cross"" and Michelangelo's Sistine Chapel ceiling.",16th edition,E.H. Gombrich,The Story of Art,3.83,172647,English,Hardcover
33313,312 pages,"New York Chef Tony Bourdain gives away secrets of the trade in his wickedly funny, inspiring memoir/expose. ",Updated Edition,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly,4.0,146862,English,Paperback
46756,400 pages," is at once an unforgettable love story and a compelling vision of the future. Snowman, known as Jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, Crake, and the beautiful and elusive Oryx whom they both loved. In search of answers, Snowman embarks on a journey–with the help of the green-eyed Children of Crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. Margaret Atwood projects us into a near future that is both all too familiar and beyond our imagining.",US,Margaret Atwood,Oryx and Crake,4.0,168749,English,Paperback
13206760,454 pages,"Halfway around the world, Scarlet Benoit’s grandmother is missing. When Scarlet encounters Wolf, a street fighter who may have information as to her",1st,Marissa Meyer,Scarlet,4.3,215764,English,Hardcover
2175,329 pages,"When Emma Rouault marries Charles Bovary she imagines she will pass into the life of luxury and passion that she reads about in sentimental novels and women's magazines. But Charles is a dull country doctor, and provincial life is very different from the romantic excitement for which she yearns. In her quest to realize her dreams she takes a lover, and begins a devastating spiral into deceit and despair.",Oxford World's Classics,Gustave Flaubert,Madame Bovary,3.65,188403,English,Paperback
6527740,608 pages," Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided th",1st Edition,Richelle Mead,Last Sacrifice ,4.42,219387,English,Hardcover
3008,242 pages,", one o",Penguin Classics,Frances Hodgson Burnett,A Little Princess,4.19,218696,English,Paperback
52357,213 pages,"The national bestseller and winner of the Whitbread Award. Composed toward the end of the first millennium, Beowulf is the classic Northern epic of a hero’s triumphs as a young warrior and his fated death as a defender of his people. The poem is about encountering the monstrous, defeating it, and then having to live on, physically and psychically exposed in the exhausted aftermath. It is not hard to draw parallels in this story to the historical curve of consciousness in the twentieth century, but the poem also transcends such considerations, telling us psychological and spiritual truths that are permanent and liberating.",Bilingual Edition,Unknown,Beowulf,3.42,185800,English,Paperback
12957,246 pages,"The action is set in Sicily, where Don Pedro, Prince of Aragon, has recently defeated his half-brother, the bastard Don John, in a military engagement. Apparently reconciled, they return to the capital, Messina, as guests of the Governor, Leonato. There Count Claudio, a young nobleman serving in Don Pedro's army, falls in love with Hero, Leonato's daughter, whom Don Pedro woos on his behalf. The play's central plot shows how Don John maliciously deceives Claudio into believing that Hero has taken a lover on the eve of her marriage, causing Claudio to repudiate her publicly, at the altar.",Folger Shakespeare Library Edition,William Shakespeare,Much Ado About Nothing,4.06,186492,English,Mass Market Paperback
1044355,323 pages, confirms once again that David Sedaris is a master of mystery and su,US,David Sedaris,When You Are Engulfed in Flames,4.04,157714,English,Hardcover
8490112,422 pages,"In a dark and dusty shop, a devil’s supply of human teeth grows dangerously low.",US,Laini Taylor,Daughter of Smoke & Bone,4.04,231485,English,Hardcover
17231,288 pages,"Meet Dexter Morgan, a polite wolf in sheep's clothing. He's handsome and charming, but something in his past has made him abide by a different set of rules. He's a serial killer whose one golden rule makes him immensely likeable: he only kills bad people. And his job as a blood splatter expert for the Miami police department puts him in the perfect position to identify his victims. But when a series of brutal murders bearing a striking similarity to his own style start turning up, Dexter is caught between being flattered and being frightened -- of himself or some other fiend.",Media Tie-In; Vintage Crime / Black Lizard; US / CAN,Jeff Lindsay,Darkly Dreaming Dexter,3.89,158941,English,Paperback
34268,176 pages,"Peter Pan, the book based on J.M. Barrie's famous play, is filled with unforgettable characters: Peter Pan, the boy who would not grow up; the fairy, Tinker Bell; the evil pirate, Captain Hook; and the three children--Wendy, John, and Michael--who fly off with Peter Pan to Neverland, where they meet Indians and pirates and a crocodile that ticks. Renowned children's-book artist Michael Hague has brought the amazing adventures of Peter Pan to life. His beautiful illustrations capture the wild, seductive power of this classic book. This newly designed edition will be enjoyed by fans young and old alike.",100th Anniversary Edition,J.M. Barrie,Peter Pan,4.1,197840,English,Hardcover
1358844,352 pages,Somehow Lexi went from a twent,First Edition,Sophie Kinsella,Remember Me?,3.76,183900,English,Hardcover
656,1392 pages,"Tolstoy's epic masterpiece intertwines the lives of private and public individuals during the time of the Napoleonic wars and the French invasion of Russia. The fortunes of the Rostovs and the Bolkonskys, of Pierre, Natasha, and Andrei, are intimately connected with the national history that is played out in parallel with their lives. Balls and soirees alternate with councils of war and the machinations of statesmen and generals, scenes of violent battles with everyday human passions in a work whose extraordinary imaginative power has never been surpassed. ",Oxford World's Classics,Leo Tolstoy,Война и миръ,4.11,195036,English,Paperback
29044,559 pages,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil.",First Vintage Contemporary Edition - Hard Paperback,Donna Tartt,The Secret History,4.07,192122,English,Paperback
2866718,338 pages,"Life sucks when your friends are pissed at you. Just ask Zoey Redbird – she's become an expert on suckiness. In one week she has gone from having three boyfriends to having none, and from having a close group of friends who trusted and supported her, to being an outcast. Speaking of friends, the only two Zoey has left are undead and unMarked. And Neferet has declared war on humans, which Zoey knows in her heart is wrong. But will anyone listen to her? Zoey's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested, shocking true intentions come to light, and an ancient evil is awakened in PC and Kristin Cast's spellbinding fourth House of Night novel. (",First Edition,P.C. Cast,Untamed: A House of Night Novel,3.95,198829,English,Paperback
