author,Language,id,numberofpages,description,title,bookEdition,GoodReadAverageRating,NumberofRatings,bookformat
Alyson Noel,English,6134826,284 pages,"Desperate to save him, Ever travels to",Blue Moon,1st Edition,3.61,78724,Paperback
Janet Evanovich,English,2292384,310 pages,"Dom Rizzi robbed a bank, stashed the money, and did the time. His family couldn't be more proud. He always was the smart one.",Fearless Fourteen,1st Edition,4.02,75366,Hardcover
Raymond E. Feist,English,13810,499 pages,"Raymond E. Feist was born Raymond E. Gonzales III, but took his adoptive step-father's surname when his mother remarried Felix E. Feist. He graduated with a B.A. in Communication Arts with Honors in 1977 from the University of California at San Diego. During that year Feist had some ideas for a novel about a boy who would be a magician. He wrote the novel two years later, and it was published in 1",Magician: Master,Author's Preferred Edition,4.25,55551,Mass Market Paperback
L.J. Smith,English,3575676,732 pages,"The apocalypse is drawing near. But four Wild Powers can save the world from the impending doom. Circle Daybreak, an underground organization with both Night World and human members, is searching for the four who can stop the darkness.","Night World, No. 3",Omnibus,4.2,59343,Paperback
L.J. Smith,English,395871,492 pages,"Elena: the golden girl, the leader, the one who can have any boy she wants.",The Awakening and the Struggle,First Edition,3.67,72451,Paperback
Ken Follett,English,11389875,1098 pages,"Throughout these books, Follett has followed the fortunes of five intertwined families – American, German, Russian, English, and Welsh – as they make their way through the twentieth century. Now they come to one of the most tumultuous eras of all: the enormous social, political, and economic turmoil of the 1960s through the 1980s, from civil rights, assassinations, mass political movements and Vietnam to the Berlin Wall, the Cuban Missile Crisis, presidential impeachment, revolution – and rock and roll.East German teacher Rebecca Hoffman discovers she’s been spied on by the Stasi for years and commits an impulsive act that will affect her family for the rest of their lives.…George Jakes, the child of a mixed-race couple, bypasses a corporate law career to join Robert F. Kennedy’s Justice Department, and finds himself in the middle not only of the seminal events of the civil rights battle, but a much more personal battle of his own.…Cameron Dewar, the grandson of a senator, jumps at the chance to do some official and unofficial espionage for a cause he believes in, only to discover that the world is a much more dangerous place than he’d imagined.…Dimka Dvorkin, a young aide to Nikita Khrushchev, becomes a prime agent both for good and for ill as the United States and the Soviet Union race to the brink of nuclear war, while his twin sister, Tania, carves out a role that will take her from Moscow to Cuba to Prague to Warsaw – and into history.",Edge of Eternity,First Edition,4.04,53600,Hardcover
Philip K. Dick,Spanish,22590,288 pages,Th,Ubik,Ventana Abierta,4.1,58764,Paperback
Rachel Hawkins,English,8428064,359 pages,"Turns out, Sophie's a",Demonglass,"Hyperion, First Edition",4.13,78094,Hardcover
Charlotte Perkins Gilman,English,99300,70 pages,"Written from a feminist perspective, often focusing on the inferior status accorded to women by society, the tales include ""turned,"" an ironic story with a startl",The Yellow Wallpaper,Dover Thrift Editions,4.02,65399,Paperback
Joe Hill,English,15729539,704 pages, bestselling author of ,NOS4A2,1st Edition,4.06,60365,Hardcover
Eoin Colfer,English,2179276,391 pages,"But when Artemis Fowl's mother contracts a life-threatening illness, his world is turned upside down. The o",The Time Paradox,First American Edition,4.07,65963,Hardcover
Anne Brontë,English,337113,542 pages,"Gilbert Markham is deeply intrigued by Helen Graham, a beautiful and secretive young widow who has moved into nearby Wildfell Hall with her young son. He is quick to offer Helen his friendship, but when her reclusive behavior becomes the subject of local gossip and speculation, Gilbert begins to wonder whether his trust in her has been misplaced. It is only when she allows Gilbert to read her diary that the truth is revealed and the shocking details of her past.",The Tenant of Wildfell Hall,Penguin Classics,3.91,66209,Paperback
Agatha Christie,English,209194,381 pages,"Armed with a single clue, Anne finds herself struggling to unma",The Man in the Brown Suit,Agatha Christie Collection,3.97,59390,Paperback
Louise Fitzhugh,English,232576,300 pages,"Harriet M. Welsch is a spy. In her notebook, she writes down everything she knows about everyone, even her classmates and her best friends. Then Harriet loses track of her notebook, and it ends up in the wrong hands. Before she can stop them, her friends have read the always truthful, sometimes awful things she’s written about each of them. Will Harriet find a way to put her life and her friendships back together?",Harriet the Spy,Classic Edition,3.96,80851,Mass Market Paperback
Janet Evanovich,English,40317,310 pages,MISTAKE #1,Lean Mean Thirteen,First Edition,4.08,78177,Hardcover
Greg Behrendt,English,10412,208 pages,"Now in bite-size mantras, the abridged empathetic wit and wisdom of the number one ",He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,The Newly Expanded Edition,3.65,56107,Hardcover
Jodi Picoult,English,10915,434 pages,"When Jack St. Bride arrives by chance in the sleepy New England town of Salem Falls, he decides to reinve",Salem Falls,First Washington Square Press Trade Paperback Edition,3.8,62692,Paperback
D.H. Lawrence,English,32067,364 pages,"With her soft brown hair, lithe figure and big, wondering eyes,",Lady Chatterley's Lover,Penguin Classics Deluxe Edition,3.49,76439,Paperback
Jodi Ellen Malpas,"
                  ",18149927,452 pages,"Jesse Ward drowned her with his intensity and blindsided her with his passion, but he kept her away from his dark secrets and broken soul. Leaving him was the only way Ava O'Shea could survive. She should have known that Jesse Ward is impossible to escape--and now he's back in her life, determined to remind her of the sensual pleasures",Beneath This Man ,2nd Edition,4.3,74805,Kindle Edition
Brandon Sanderson,"
                ",1268479,688 pages," and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called ""secondary creation,"" the invention of whole worlds, complete with magics and myths all their own.",Warbreaker,Draft version,4.22,66459,ebook
Maureen Johnson,English,17020,322 pages,Maureen knew from an early age she wanted to be a writer. She went to high school at an all-girls' Catholic school and graduated from University of Delaware with a degree in writing. She now lives and writes in New York City.,13 Little Blue Envelopes,Extras Inside,3.65,71104,Paperback
Jim Butcher,English,12216302,515 pages,"After being murdered by a mystery assailant, navigating his way through the realm between life and death, and being brought back to the mortal world, Harry realizes that maybe death wasn’t all that bad. Because he is no longer Harry Dresden, Chicago’s only professional wizard.",Cold Days,1st Edition,4.51,66541,Hardcover
Ally Carter,English,568645,236 pages,". At first, giddy anticipation is in the air. Gallagher Academy, Cammie's elite spy school, is hosting a visit from a covert training center for boys. Soon after the boys' arrival, though, everything goes dangerously awry when a s",Cross My Heart and Hope to Spy,First Edition,4.13,73733,Hardcover
Michael Scott,English,2402971,464 pages,"After fleeing Ojai, Nicholas, Sophie, Josh, and Scatty emerge in Paris, the City of Lights. Home for Nicholas Flamel. Only this homecoming is anything but sweet. Perenelle is still locked up back in Alcatraz and Paris is teeming with enemies. Niccolo Machiavelli, immortal author and celebrated art collector, is working for Dee. He’s after them, and time is running out for Nicholas and Perenelle. For every day spent without the Book of Abraham the Mage, they age one year-their magic becoming weaker and their bodies more frail. For Flamel, the Prophecy is becoming more and more clear.",The Magician: The Secrets of The Immortal Nicholas Flamel,First Edition,4.09,72517,Hardcover
Kendare Blake,English,9378297,320 pages,"So did his father before him, until he was gruesomely murdered by a ghost he sought to kill. Now, armed with his father's mysterious and deadly athame, Cas travels the country with his kitchen-witch mother and their spirit-sniffing cat. They follow legends and local lore, destroy the murderous dead, and keep p",Anna Dressed in Blood,First Edition,3.96,78772,Hardcover
Anne Rice,English,31338,354 pages,"In the fifth Vampire Chronicle, Lestat is searching for Dora, the beautiful and charismatic mortal daughter of a drug lord. Dora has moved Lestat like no other mortal ever has, and he cannot get her out of his visions. At the same time, he is increasingly aware that the Devil knows who he is and wants something from him. While torn betwen his vampire world and his passion for Dora, Lestat is sucked in by Memnoch, who claims to be the Devil himself. Memnoch presents Lestat with unimagined opportunities: to witness creation, to visit purgatory, to be treated like a prophet. Lestat faces a choice between the Devil or God. Whom does he believe in? Who does he serve? What are the element of religious belief? Lestat finds himself caught in a whirlpool of the ultimate choice",Memnoch The Devil,Limited Edition,3.74,67717,Hardcover
Terry Goodkind,English,253058,822 pages,"The dangerous, fanatical Imperi","Temple of the Winds (Sword of Truth, #4)",Unabridged,4.03,63124,Audio CD
Hugh Howey,"
                  ",12287209,58 pages,Or you'll get what you wish for.,Wool,1st Edition,4.12,60460,Kindle Edition
Janet Evanovich,English,3507,310 pages, ,Twelve Sharp,1st Edition,4.14,79746,Hardcover
Lee Child,English,21745,374 pages,"Skilled, cautious, and anonymous, Jack Reacher is perfect for the job: to assassinate the vice president of the United States. Theoretically, of course. A female Secret Service agent wants Reacher to find the holes in her system, and fast - because a covert group already has the vice president in their sights. They've planned well. There's just one thing they didn't plan on: Reacher.",Without Fail ,Unabridged,4.16,64052,Audiobook
Walter Scott,English,6440,544 pages," (1819) was the first of Scott's novels to adopt a purely English subject and was also his first attempt to combine history and romance, which later influenced Victorian medievalism. Set at the time of the Norman Conquest, Ivanhoe returns from the Crusades to claim his inheritance and the love of Rowena and becomes involved in the struggle between Richard Coeur de Lion and his Norman brother John. The gripping narrative is structured by a series of conflicts: Saxon versus Norman, Christian versus Jew, men versus women, played out against Scott's unflinching moral realism.",Ivanhoe,Penguin Classics,3.75,71832,Paperback
Jim Butcher,English,6585201,438 pages,"Now Arianna Ortega, Duchess of the Red Court, has discovered a secret Susan has",Changes,1st Edition,4.54,73171,Hardcover
Nora Roberts,English,10305231,352 pages,"The historic hotel in Boonsboro has endured war and peace, changing hands, even rumored hauntings. Now it’s getting a major facelift from the Montgomery brothers and their eccentric mother. Beckett is the architect of the family, and his social life consists mostly of talking shop over pizza and beer. But there’s another project he’s got his eye on: the girl he’s been waiting to kiss since he was fifteen.",The Next Always,Unabridged - Library Ed,4.11,63478,Audio CD
Daniel Goleman,English,26329,384 pages,", we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our ""two minds""—the rational and the emotional—and how they together shape our destiny.",Emotional Intelligence,10th Anniversary Edition,3.98,53743,Hardcover
Raymond E. Feist,English,13812,485 pages,"Raymond E. Feist was born Raymond E. Gonzales III, but took his adoptive step-father's surname when his mother remarried Felix E. Feist. He graduated with a B.A. in Communication Arts with Honors in 1977 from the University of California at San Diego. During that year Feist had some ideas for a novel about a boy who would be a magician. He wrote the novel two years later, and it was published in 1",Magician,Author's Preferred Edition,4.17,65429,Mass Market Paperback
Stephen King,English,7912007,368 pages,"The story opens with the confession of Wilfred James to the murder of his wife, Arlette, following their move to Hemingford, Nebraska onto land willed to Arlette by her father.","Full Dark, No Stars",First Edition,4.03,70001,Hardcover
Melissa de la Cruz,English,106085,307 pages,"Schuyler Van Alen is starting to get more comfortable with her newfound vampire powers, but she still has many unanswered questions. A trip to Italy in search of her grandfather only serves to make things more confusing. What secrets are the leaders of The Committee hiding? Meanwhile, back in New York, preparations are feverishly underway for the famous Four Hundred Ball. In true Blue Blood fashion, the ball is totally fab, complete with masksâ€”and hidden behind this masquerade is a revelation that will change the course of a young vampireâ€™s destiny.",Masquerade,1st Edition,3.91,79919,Hardcover
Randall Munroe,English,21413662,303 pages,"Randall Munroe left NASA in 2005 to start up his hugely popular site XKCD 'a web comic of romance, sarcasm, math and language' which offers a witty take on the world of science and geeks. It now has 600,000 to a million page hits daily. Every now and then, Munroe would get emails asking him to arbitrate a science debate. 'My friend and I were arguing about what would happen if a bullet got struck by lightning, and we agreed that you should resolve it . . . ' He liked these questions so much that he started up ",What If?: Serious Scientific Answers to Absurd Hypothetical Questions,First Edition,4.17,73499,Hardcover
Robert Jordan,English,113435,704 pages, from the ,Crossroads of Twilight,First Edition,3.82,69005,Hardcover
Neal Stephenson,English,827,499 pages,"The Diamond Age: Or, A Young Lady's Illustrated Primer is a postcyberpunk novel by Neal Stephenson. It is to some extent a science fiction coming-of-age story, focused on a young girl named Nell, and set in a future world in which nanotechnology affects all aspects of life. The novel deals with themes of education, social class, ethnicity, and the nature of artificial intelligence.",The Diamond Age,Trade Reissue,4.19,67069,Paperback
Solomon Northup,"
                  ",18478222,363 pages,"Perhaps the best written of all the slave narratives, Twelve Years a Slave is a harrowing memoir about one of the darkest periods in American history. It recounts how Solomon Northup, born a free man in New York, was lured",Twelve Years a Slave,Enhanced Edition,4.16,65665,ebook
J.R. Ward,English,7046495,528 pages,"John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal vendetta takes John into the heart of the war, he will need to call up on both who he is now and who he once was in order to face off against evil incarnate.","Lover Avenged, part one",First Edition,4.41,90531,Hardcover
Patrick Rothfuss,English,21535271,159 pages,"Her name is Auri, and she is full of mysteries.",The Slow Regard of Silent Things,First Edition,3.92,72024,Hardcover
Stephen King,English,11602,640 pages,"Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the",Hearts in Atlantis,Film tie-in,3.8,71353,Paperback
Frank Warren,"
                  ",87640,278 pages,"You are invited to anonymously contribute a secret to a group art project. Your secret can be a regret, fear, betrayal, desire, confession, or childhood humiliation. Reveal ",PostSecret: Extraordinary Confessions from Ordinary Lives,First Edition,4.01,59727,Hardcover
J.R. Ward,English,5098079,527 pages,"Rehvenge has always kept his distance from the Brotherhood—even though his sister is married to a member, for he harbors a deadly secret that could make him a huge liability in their war against the lessers. As plots within and outside of the Brotherhood threaten to reveal the truth about Rehvenge, he turns to the only source of light in his darkening world, Ehlena, a vampire untouched by the corruption that has its hold on him—and the only thing standing between him and eternal destruction.","Lover Enshrined, part two",First Edition,4.38,92917,Hardcover
أحلام مستغانمي,"
                  ",16081961,331 pages,الموسيقى لا تمهلك، إنها تمضي بك سراعا كما الحياة، جدولا طربا، أو شلالا هادرا يلقي بك إلى المصب. تدور بك كفالس محموم، على إيقاعه تبدأقصص الحب ...و تنتهي.,الأسود يليق بك,الطبعة الأولى,3.71,52554,Paperback
Adam Johnson,English,11529868,443 pages,"Pak Jun Do is the haunted son of a lost mother - a singer ""stolen"" to Pyongyang - and an influential father who runs Long Tomorrows, a work camp for orp",The Orphan Master's Son,US / CAN,4.06,64316,Hardcover
George Bernard Shaw,English,7714,134 pages,"Shaw wrote the part of Eliza Doolittle - an east-end dona with an apron and three orange and red ostrich feathers - for Mrs Patrick Campbell, with whom he had a passionate but unconsummated affair. From the outset the play was a sensational success, although Shaw, irritated by its popularity at the expense of his artistic intentions, dismissed it as a potboiler. The Pygmalion of legend falls in love with his perfect female statue and persuades Venus to bring her to life so that he can marry her. But Shaw radically reworks Ovid's tale to give it a feminist slant: while Higgins teaches Eliza to speak and act like a duchess, she also asserts her independence, adamantly refusing to be his creation.",Pygmalion,Dover Thrift Edition,3.9,75907,Paperback
Jodi Ellen Malpas,                                  ,16140036,448 pages,"Young interior designer Ava O’Shea has an appointment for a first consultation at The Manor with the owner, Mr Jesse Ward. She is expecting nothing more than an overweight, cravat wearing, well-to-do countryman, and on arrival, nothing would suggest otherwise. How wrong could she be? This Man is devastatingly handsome, charming and confident. He is also a conceited, hedonistic playboy, who knows no boundaries. Ava desperately does not want to be attracted to him, but she can’t control the overwhelming effect he has on her. Every instinct is telling her to run, so she does, but Jesse Ward is not so willing to let her go. He wants her and is determined to have her. She knows she is heading for heartbreak, but how can she run when he won’t let her?",This Man,1st edition,4.13,85590,ebook
William Styron,English,228560,562 pages,"William Styron (1925–2006), born in Newport News, Virginia, was one of the greatest American writers of his generation. Styron published his first book, ",Sophie's Choice,Vintage International Edition,4.18,71446,Paperback
Joe Hill,English,153025,376 pages,"Aging, self-absorbed rock star Judas Coyne has a thing for the macabre -- his collection includes sketches from infamous serial killer John Wayne Gacy, a trepanned skull from the 16th century, a used hangman's noose, Aleister Crowley's childhood chessboard, etc. -- so when his assistant tells him about a ghost for sale on an online auction site, he immediately puts in a bid and purchases it. ",Heart-Shaped Box,First Edition,3.82,75290,Hardcover
Jeff Kinney,English,11254250,224 pages,"Greg Heffley is in big trouble. School property has been damaged, and Greg is the prime suspect. But the crazy thing is, he’s innocent. Or at least sort of. The authorities are closing in, but when a surprise blizzard hits, the Heffley family is trapped indoors. Greg knows that when the snow melts he’s going to have to face the music, but could any punishment be worse than being stuck inside with your family for the holidays?",Cabin Fever,First Edition,4.21,69234,Hardcover
Jeff Smith,English,106134,138 pages,"After being run out of Boneville, the three Bone cousins, Fone Bone, Phoney Bone, and Smiley Bone, are separated and lost in a vast uncharted desert.",Out from Boneville,1st Edition,4.16,63489,Paperback
Roberto Aguirre-Sacasa,"
                  ",6344097,160 pages," series of comics (#1-5) into one Hardcover volume. It all begins here: the epic apocalyptic battle between good and evil. On a secret army base in the Californian desert, something has gone horribly, terribly wrong. Something will send Charlie Campion, his wife and daughter fleeing in the middle of the night. U","
                  0785136207
                      ",1st,4.43,58079,Hardcover
Veronica Rossi,English,11594257,374 pages,Then Aria meets an outsider name,Under the Never Sky,UK Edition,4.0,94915,Paperback
Robert K. Massie,English,10414941,625 pages,"Born into minor German nobility, she transformed herself into an empress by sheer determination. Possessing a brilliant, curious mind, she devoured the works of Enlightenment philosophers, and reaching the throne, tried using their princ",Catherine the Great: Portrait of a Woman,First edition,3.91,70681,Hardcover
Margaret Atwood,English,6080337,431 pages,"The times and species have been changing at a rapid rate, and the social compact is wearing as thin as environmental stability. Adam One, the kindly leader of the God's Gardeners--a religion devoted to the melding of science and religion, as well as the preservation of all plant and animal life--has long predicted a natural disaster that will alter Earth as we know it. Now it has occurred, obliterating most human life. Two women have survived: Ren, a young trapeze dancer locked inside the high-end sex club Scales and Tails, and Toby, a God's Gardener barricaded inside a luxurious spa where many of the treatments are edible. ",The Year of the Flood,First United States Edition,4.05,77981,Hardcover
Chuck Klosterman,English,599,253 pages,"Countless writers and artists have spoken for a generation, but no one has done it quite like Chuck Klosterman. With an exhaustive knowledge of popular culture and an almost effortless ability to spin brilliant prose out of unlikely subject matter, Klosterman attacks the entire spectrum of postmodern America: reality TV, Internet porn, Pamela Anderson, literary Jesus freaks, and the real difference between apples and oranges (of which there is none). And don't even get him started on his love life and the whole Harry-Met-Sally situation. ","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",1st Scribner trade paperback edition,3.75,58067,Paperback
William L. Shirer,English,767171,1614 pages,Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.,The Rise and Fall of the Third Reich: A History of Nazi Germany,50th Anniversary Edition,4.15,68999,Mass Market Paperback
Cornelia Funke,English,28195,635 pages,"Although a year has passed, not a day goes by without Meggie thinking of INKHEART, the book whose characters became real. But for Dustfinger, the fire-eater brought into being from words, the need",Tintenblut,1st US Edition,3.91,90832,Hardcover
