description,numberofpages,NumberofRatings,id,bookEdition,Language,author,title,bookformat,GoodReadAverageRating
تدور أحداث الرواية حول طالب في كلية الطب يهوى الكتابة ، ويبحث دائما عن شخصيات فريدة لتناولها في كتاباته ، إلى أن يجد نفسه وجها لوجه أمام (المرحوم) ، عامل المشرحة المسئول عن حفظ الجثث وإعدادها للتشريح .. يقترب منه ليكتشف أنه شخصية مركبة لأقصى حد . حيث يرى أن وجوده في المشرحة هو رسالة كلف بها ليتم لهؤلاء الموتى أعمالا كان ينبغي عليهم أن يتموها حتى ترتاح أجسادهم في الأرض .. ويخبره أنه يملك القدرة على أن يلبس أجساد الموتى ويتحرك بها لينتهي مما لم يستطيعوا أن ينتهوا منه وهم أحياء .. وما بين تعاطف الطبيب الشاب مع عامل المشرحة الذي يبدو له مختلا وفضوله ليستكمل قصته الجديدة يتماشى معه . فيجد نفسه طرفا في أحداث تجره إلى عالم أكثر قسوة وغموضا من عالم الأموات .. هو صراع الأحياء ..صراعات الدين والسلطة والفساد والسياسة والفقر والمرض ، ومع الوقت يجد أن كل ما يحدث يؤكد له أن هذا العامل ليس مجنونا بل هو مرتبط فعليا بهؤلاء الموتى الذين تركوا حياتهم خلفهم لينغمس فيها هو والمرحوم ويكاد يكون خروجهما منها مستحيلا ..,362 pages,9047,18323154,الطبعة الثانية,"
                ",حسن كمال,المرحوم,Paperback,3.51
"This Text Revision incorporates information culled from a comprehensive literature review of research about mental disorders published since the DSM-IV(R) of 1994. Updated information is included about the associated features, culture, age & gender features, prevalence, course & familial pattern of mental disorders. The DSM-IV-TR(R) brings this essential diagnostic tool to-date, to promote effective diagnosis, treatment & quality of care. One can get all the essential diagnostic information from the DSM-IV(R) along with important updates not in the '94 edition. Benefit from new research into Schizophrenia, Asperger's Disorder & other conditions. Utilize additional information about the epidemiology & other facets of DSM conditions. Update ICD-9-CM codes implemented since 1994 including Conduct Disorder, Dementia, Somatoform Disorders.",943 pages,10192,164723,"4th, Text Revision",English,American Psychiatric Association,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),Paperback,3.87
"Edgar Rice Burroughs was an American author, best known for his creation of the jungle hero Tarzan and the heroic John Carter, although he produced works in many genres.",190 pages,13316,841973,From Jan-May 1913 10-part serial <i>All-Story Magazine</i>,English,Edgar Rice Burroughs,The Gods of Mars,Paperback,3.86
"Thomas Covenant, an embittered and cynical writer, afflicted with leprosy and shunned by society, is fated to",1160 pages,12410,179033,"Paperback, collected edition of 1st 3 books",English,Stephen R. Donaldson,"The Chronicles of Thomas Covenant, the Unbeliever",Paperback,3.78
"Greg Cage was born to protect. While growing up, he was his mother and sister's shield against the world... until he failed. For the last decade, he has carried that guilt and need for vengeance around... until it was stripped from him. Now, with his best friend getting married and no longer needing his protection, h",282 pages,24861,21518679,2nd  Edition,"
                  ",Harper Sloan,English,Paperback,4.29
"Ludwig Josef Johann Wittgenstein (26 April 1889 – 29 April 1951) was an Austrian-British philosopher who worked primarily in logic, the philosophy of mathematics, the philosophy of mind, and the philosophy of language.",246 pages,10160,12073,50th Anniversary Commemorative Edition,English,Ludwig Wittgenstein,Philosophische Untersuchungen,Hardcover,4.23
 is a kitchen classic. Hailed by ,896 pages,11175,101255,"Revised, Second Edition",English,Harold McGee,On Food and Cooking: The Science and Lore of the Kitchen,Hardcover,4.48
"If your inner wolf and your body react rather enthusiastically to a psychotic Alpha male who’s own wolf has a tendency to turn feral, it can’t be a good thing, can it? Entering into a bargain with him wouldn’t be good either. Unfortunately, Taryn Warner, a latent wolf shifter, doesn’t have many options open to her right now. Okay, she has no options. Basically it comes down to whether she’ll do what it takes to escape the arranged mating with the sick SOB that her father set up. As the answer in this case is yes, it looks as though she’ll have to agree to Trey Coleman’s deal…she’ll have to mate with him instead. ",429 pages,26016,13522957,1st edition,"
                  ",Suzanne Wright,Feral Sins,Kindle Edition,4.12
"The free Fables living in the mundane world have struck a decisive blow against the Adversary, destroying one of his most valuable assets at the very heart of his empire - and setting the stage for an all-out war between the worlds in the process. Now, while the ruler of the Homelands licks his wounds and gathers his forces, the denizens of Fabletown have a rare chance to savor the brief peace their victory has brought them. Everyone, however, knows that this is just the calm before the storm - and that even the winds themselves will have to choose sides before it's over.",200 pages,15537,158988,Trade,English,Bill Willingham,"Fables, Volume 9: Sons of Empire",Paperback,4.24
"In this classically simple tale of the disastrous impact of outside life on a secluded community in Dorset, now in a new edition, Hardy narrates the rivalry for the hand of Grace Melbury between a simple and loyal woodlander and an exotic and sophisticated outsider. Betrayal, adultery, disillusion, and moral compromise are all worked out in a setting evoked as both beautiful and treacherous. ",420 pages,11742,341281,Penguin Classics,English,Thomas Hardy,The Woodlanders,Paperback,3.83
"Summoned by a remote tribe of nomadic Aborigines to accompany them on walkabout, the woman makes a four-month",224 pages,12517,32349,Tenth Anniversary Edition,English,Marlo Morgan,Mutant Message Down Under,Paperback,3.79
Had TR won his historic “Bull Moose” campaign,766 pages,13469,7993566,First Edition,English,Edmund Morris,Colonel Roosevelt,Hardcover,4.1
"One of ""Sin City's"" most fascinatingly conflicted characters, Dwight, returns in ""The Big Fat Kill"", the third volume of Frank Miller's seminal noir comic and the inspiration for one of the segments of the blockbuster ""Sin City"" film! This third edition is newly redesigned and features a brand-new cover by Miller - some of his first comics art in years! For Dwight, sometimes standing up for his friends means killing a whole lot of people. Not for revenge. Not because they deserve it. Not because it'll make the world a better place. There's nothing righteous or noble about it. Dwight's gotta kill them because he needs them dead. With a new look generating more excitement than ever before, this third edition is the perfect way to attract a whole new generation of readers to Frank Miller's masterpiece!",184 pages,13781,419103,Third Edition,English,Frank Miller,Sin City: The Big Fat Kill,Paperback,4.1
"Then, one snowy night in Manhattan, the prince meets a dark haired beauty who doesn't bow down. Instead, she throws a pie in his face.",276 pages,20089,29991719,1st edition,"
                ",Emma Chase,Royally Screwed,Kindle Edition,4.1
"Since making her publishing debut in 2012, Natasha Anders has been drawing praise and attention as a new voice in romance. The Unwanted Wife, which became a self-published bestseller, is the first title in Anders’s forthcoming Unwanted series. Born in Cape Town, South Africa, Anders spent nine years as an associate English teacher in Niigata, Japan, where she became a legendary karaoke diva. Ander",215 pages,19888,16056862,First Edition,"
                  ",Natasha Anders,The Unwanted Wife,Kindle Edition,3.94
"Carolina Broad, society's newest darling, fans a fla",391 pages,17648,6239873,1st Edition,English,Anna Godbersen,Splendor,Hardcover,3.84
Af,352 pages,16562,9349915,First Edition,English,Sarah Blakley-Cartwright,Red Riding Hood,Paperback,3.51
Don't ,263 pages,13177,106882,Large Print,English,Mireille Guiliano,French Women Don't Get Fat,Hardcover,3.48
"Gathered together by Professor Charles Xavier to protect a world that fears and hates them, the X-Men had fought many battles, been on adventures that spanned galaxies, grappled enemies of limitless might, but none of this could prepare them for the most shocking struggle they would ever face. One of their own members, Jean Grey, has gained power beyond all comprehension, and that power has corrupted her absolutely Now they must decide if the life of the woman they cherish is worth the existence of the entire universe.",200 pages,12292,103111,Uncanny X-Men,"
                  ",Chris Claremont,"
                  0785122133
                      ",Paperback,4.26
" purported to be a translation of an Italian story of the time of the crusades. In it Walpole attempted, as he declared in the Preface to the Second Edition, ""to blend the two kinds of romance: the ancient and the modern."" Crammed with invention, entertainment, terror, and pathos, the novel was an immediate succe",125 pages,16294,12923,Oxford World's Classics,English,Horace Walpole,The Castle of Otranto,Paperback,3.18
"To Don Raymonde Aprile's children he was a loyal family member, their father's adopted ""nephew."" To the FBI he was a man who would rather ride his horses than do Mob business. No one knew why Aprile, the last great American Don, had adopted Astorre Viola many years before in Sicily; no one suspected how he had carefully trained him ... and how, while the Don's children claimed respectable careers in America, Astorre Viola waited for his time to come.",369 pages,11468,22028,First Mass Market Domestic Edition,English,Mario Puzo,Omertà,Paperback,3.68
", took us on a journey to a distant planet and into the center of the human soul. A critically acclaimed bestseller, ",451 pages,14094,16948,Ballantine Reader's Circle,English,Mary Doria Russell,Children of God,Paperback,4.05
"The youngest brother, Ian, known as the Mad Mackenzie, spent most of his young life in an asylum, and every",320 pages,22337,5981872,1st Edition,English,Jennifer Ashley,The Madness of Lord Ian Mackenzie,Mass Market Paperback,4.07
A pseudonym of ,724 pages,11884,26581,Book Club edition,English,A.N. Roquelaure,Sleeping Beauty Box Set,Paperback,3.98
"The community of Fables living undercover in our midst has endured plenty of suffering at the hands of their longtime antagonist, the Adversary. Now it's time to return the favor and put the would-be conqueror on notice that the cost of subjugating this last stronghold of magic will be higher than he can bear. The one Fable who can accomplish this mission, however, has hidden himself away in the wild and will take some convincing if he can even be found. Luckily for Fabletown, there's something more than a trip behind enemy lines awaiting Bigby Wolf's return...",160 pages,15924,21324,Trade,English,Bill Willingham,"Fables, Volume 8: Wolves",Paperback,4.28
