GoodReadAverageRating,bookEdition,Language,author,description,bookformat,id,numberofpages,title,NumberofRatings
4.3,Greenwillow Books,English,Diana Wynne Jones,"Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.",Mass Market Paperback,6294,329 pages,Howl's Moving Castle,141429
4.2,Graphic novel,English,Raina Telgemeier,"bestselling, Eisner Award-winning graphic memoir based on her childhood!",Hardcover,6393631,224 pages,Smile,105343
3.7,First,English,Seth Grahame-Smith,"""My baby boy..."" she whispers before dying.",Hardcover,7108001,336 pages,Abraham Lincoln: Vampire Hunter,119116
3.46,First edition,English,Dave Eggers,"When Mae Holland is hired to work for the Circle, the world’s most powerful internet company, she feels she’s been given the opportunity of a lifetime. The Circle, run out of a sprawling California campus, links users’ personal emails, social media, banking, and purchasing with their universal operating system, resulting in one online identity and a new age of civility and transparency. ",Hardcover,18302455,493 pages,The Circle,132392
4.31,Pantheon Fairy Tale and Folklore Library,English,Jacob Grimm,"Cinderella, Rapunzel, Snow-White, Hänsel and Gretel, Little Red-Cap (a.k.a. Little Red Riding Hood), and Briar-Rose (a.k.a. Sleeping Beauty) are only a few of more than 200 enchanting characters",Paperback,22917,880 pages,Brüder Grimm: Kinder- und Hausmärchen,128451
3.93,First Edition,English,P.C. Cast,"What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?",Hardcover,4134071,323 pages,Hunted,146616
4.14,First Edition,English,Patti Smith,", Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality",Hardcover,341879,304 pages,Just Kids,119037
4.23,2nd Edition,English,Jennifer L. Armentrout,"When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.",Paperback,12578077,299 pages,Obsidian,177711
4.17,First American Edition,English,Garth Nix,"With Sabriel, the first installment in the Abhorsen seri",Mass Market Paperback,518848,491 pages,Sabriel,146883
4.33,Box Set,English,Laura Ingalls Wilder,"Ingalls wrote a series of historical fiction books for children based on her childhood growing up in a pioneer family. She also wrote a regular newspaper column and kept a diary as an adult moving from South Dakota to Missouri, the latter of which has been published as a book.",Boxed Set,114345,2700 pages,The Little House Collection,129150
4.26,1st Perennial,English,Christopher Moore,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams""-",Paperback,28881,444 pages,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",126532
3.65,Oxford School Shakespeare,English,William Shakespeare,"The Oxford School Shakespeare has become the preferred introduction to the literary legacy of the greatest playwright in the English language. This exclusive collection of the Bard's best works has been designed specifically for readers new to Shakespeare's rich literary legacy. Each play is presented complete and unabridged, in large print. Every book is well illustrated, and starts with a commentary and character summary. Scene synopses and character summaries clarify confusing plots, while incisive essays explore the historical context and Shakespeare's sources. Each book ends with a complete list of Shakespeare's plays and a brief chronology of the Bard's life. The detailed explanatory notes are written clearly and positioned right next to the text--no more squinting at microscopic footnotes or flipping pages back and forth in search of endnotes! ",Paperback,13006,95 pages,The Tragedy of Julius Caesar,136733
4.19,25th Anniversary Edition,English,Bill Martin Jr.,"The book itself has little to no plot. Instead, the narrator asks various animals what they see with the response usually being another animal, the",Board book,759611,24 pages,"Brown Bear, Brown Bear, What Do You See?",127729
3.41,Centennial Edition,English,John Steinbeck,"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…",Paperback,5308,96 pages,The Pearl of the World,147238
3.51,First Edition,English,Stephenie Meyer,"All Bree knows is that living with her fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and abo",Hardcover,7937462,178 pages,The Short Second Life of Bree Tanner,160351
3.95,Summer Reading Edition,English,Sharon Creech,"Instantly, Phoebe Winterbottom came to mind. ""I could tell you an extensively strange story,"" I warned.",Paperback,53496,280 pages,Walk Two Moons,133515
3.91,Extraordinary Voyages #11,English,Jules Verne,"One ill-fated evening at the Reform Club, Phileas Fogg rashly bets his companions £20,000 that he can travel around the entire globe in just eighty days - and he is determined not to lose. Breaking the well-establised routine of his daily life, the reserved Englishman immediately sets off for Dover, accompanied by his hot-blooded French manservant Passepartout. Travelling by train, steamship, sailing boat, sledge and even elephant, they must overcome storms, kidnappings, natural disasters, Sioux attacks and the dogged Inspector Fix of Scotland Yard - who believes that Fogg has robbed the Bank of England - to win the extraordinary wager. ",Paperback,54479,252 pages,Le tour du monde en quatre-vingts jours,142164
4.1,Large Print,English,John Irving,"Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...",Hardcover,4687,973 pages,The Cider House Rules,134974
4.0,Movie Tie-in Edition,English,Matthew Quick,"Meet Pat. Pat has a theory: his life is a movie produced by God. And his God-given mission is to become physically fit and emotionally literate, whereupon God will ensure a happy ending for him -- the return of his estranged wife Nikki. (It might not come as a surprise to learn that Pat has spent time in a mental health facility.) The problem is, Pat's now home, and everything feels off. No one will talk to him about Nikki; his beloved Philadelphia Eagles keep losing; he's being pursued by the deeply odd Tiffany; his new therapist seems to recommend adultery as a form of therapy. Plus, he's being hunted by Kenny G!",Paperback,13539044,289 pages,The Silver Linings Playbook,130050
4.03,US edition,English,Robert Galbraith,"When novelist Owen Quine goes missing, his wife calls in private detective Cormoran Strike. At first, Mrs. Quine just thinks her husband has gone off by himself for a few days—as he has done before—and she wants Strike to find him and bring him home.",Hardcover,18214414,455 pages,The Silkworm,147752
4.31,US / CAN,English,Stephen King, upon the publication of Stephen King's ,Mass Market Paperback,10569,320 pages,On Writing: A Memoir of the Craft,153699
3.8,First Tor Edition,English,Susanna Clarke,"English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could c",Paperback,14201,1006 pages,Jonathan Strange & Mr Norrell,156072
4.19,First Edition,English,Sylvia Day,"No one knows how much he risked for me. How much I'd been threatened, or just how dark and desperate the shadow of our pas",Paperback,15731779,356 pages,Entwined with You,158370
4.06,US / Canada,English,David McCullough,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.",Paperback,1067,386 pages,1776,137300
4.04,USA,English,Justin Cronin,"First, the unthinkable: a security breach at a secret U.S. government facility unleashes the monstrous product of a chilling military experiment. Then, the unspeakable: a night of chaos and carnage gives way to sunrise on a nation, and ultimately a world, forever altered. All that remains for",Hardcover,6690798,766 pages,The Passage,146984
3.52,Reprint Edition,English,Ally Condie,The books you read. ,Paperback,15812814,367 pages,Crossed,180621
3.97,Kingfisher Classics,English,Johanna Spyri,"Orphaned Heidi lives with her gruff but caring grandfather on the side of Swiss mountain, where she befriends young Peter the goat-herd. She leads an idyllic life, until she is forced to leave the mountain she has always known to go and live with a sickly girl in the city. Will Heidi ever see her grandfather again? A classic tale of a young girl's coming-of-age, of friendship, and familial love.",Hardcover,93,352 pages,Heidi,155118
3.9,First Edition,English,P.C. Cast,"Dark forces are at work at the House of Night and Zoey Redbird’s adventures at the school take a mysterious turn. Her best friend, Stevie Rae, is undead and struggling to maintain a grip on her humanity. Zoey finds herself in the very unexpected and rare situation of having three boyfriends. Mix a little bloodlust into the equation and the situation has the potential to spell social disaster. Just when it seems things couldn’t get any tougher, vampyres start turning up dead. Really dead. It looks like the People of Faith are tired of living side-by-side with vampyres. But, as Zoey and her friends so often find out, how things appear rarely affects the truth…",Paperback,1326258,307 pages,Chosen: A House of Night Novel,190301
4.08,First Edition,English,Christopher Paolini,... It ends with ,Hardcover,7664041,849 pages,Inheritance,164151
3.92,1st Edition,English,Stephen King,"In another part of town, months l",Hardcover,18775247,436 pages,Mr. Mercedes,151395
4.12,Grand Master Edition,English,Ray Bradbury,The Martian Chronicles tells the story of humanity’s repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dw,Mass Market Paperback,76778,182 pages,The Martian Chronicles,157797
3.8,pocket-book,English,Richard Bach,Jonathan Livingston Seagull is no ordinary bird. He beli,Paperback,71728,112 pages,Jonathan Livingston Seagull,152004
3.89,1st Edition,English,Lauren Kate,"In the aftermath of what happened at Sword & Cross, Luce has been hidden away by her cursed angelic boyfriend, Daniel, in a new school filled with Nephilim, the offspring of fallen angels and humans. Daniel promises she will be safe here, protected from those who would kill her. At the school Lu",Hardcover,7740152,452 pages,Torment,182425
3.83,16th edition,English,E.H. Gombrich,"This text is the 16th revised and updated edition of this introduction to art, from the earliest cave paintings to experimental art. Eight new artists from the modern period have been introduced. They are: Corot, Kollwitz, Nolde, de Chirico, Brancussi, Magritte, Nicolson and Morandi. A sequence of new ""endings"" have been added, and the captions are now fuller, including the medium and dimension of the works illustrated. Six fold-outs present selected large-scale works. They are: Van Eyck's ""Ghent Altarpiece"", Leonardo's ""Last Supper"", Botticelli's ""Birth of Venus"", Jackson Pollock's ""One (Number 31, 1950)"", Van der Weyden's ""Descent from the Cross"" and Michelangelo's Sistine Chapel ceiling.",Hardcover,222078,688 pages,The Story of Art,172647
4.3,1st,English,Marissa Meyer,"Halfway around the world, Scarlet Benoit’s grandmother is missing. When Scarlet encounters Wolf, a street fighter who may have information as to her",Hardcover,13206760,454 pages,Scarlet,215764
4.0,US,English,Margaret Atwood," is at once an unforgettable love story and a compelling vision of the future. Snowman, known as Jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, Crake, and the beautiful and elusive Oryx whom they both loved. In search of answers, Snowman embarks on a journey–with the help of the green-eyed Children of Crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. Margaret Atwood projects us into a near future that is both all too familiar and beyond our imagining.",Paperback,46756,400 pages,Oryx and Crake,168749
4.0,Updated Edition,English,Anthony Bourdain,"New York Chef Tony Bourdain gives away secrets of the trade in his wickedly funny, inspiring memoir/expose. ",Paperback,33313,312 pages,Kitchen Confidential: Adventures in the Culinary Underbelly,146862
3.65,Oxford World's Classics,English,Gustave Flaubert,"When Emma Rouault marries Charles Bovary she imagines she will pass into the life of luxury and passion that she reads about in sentimental novels and women's magazines. But Charles is a dull country doctor, and provincial life is very different from the romantic excitement for which she yearns. In her quest to realize her dreams she takes a lover, and begins a devastating spiral into deceit and despair.",Paperback,2175,329 pages,Madame Bovary,188403
4.19,Penguin Classics,English,Frances Hodgson Burnett,", one o",Paperback,3008,242 pages,A Little Princess,218648
4.42,1st Edition,English,Richelle Mead," Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided th",Hardcover,6527740,608 pages,Last Sacrifice ,219387
4.04,US,English,Laini Taylor,"In a dark and dusty shop, a devil’s supply of human teeth grows dangerously low.",Hardcover,8490112,422 pages,Daughter of Smoke & Bone,231485
4.04,US,English,David Sedaris, confirms once again that David Sedaris is a master of mystery and su,Hardcover,1044355,323 pages,When You Are Engulfed in Flames,157714
3.89,Media Tie-In; Vintage Crime / Black Lizard; US / CAN,English,Jeff Lindsay,"Meet Dexter Morgan, a polite wolf in sheep's clothing. He's handsome and charming, but something in his past has made him abide by a different set of rules. He's a serial killer whose one golden rule makes him immensely likeable: he only kills bad people. And his job as a blood splatter expert for the Miami police department puts him in the perfect position to identify his victims. But when a series of brutal murders bearing a striking similarity to his own style start turning up, Dexter is caught between being flattered and being frightened -- of himself or some other fiend.",Paperback,17231,288 pages,Darkly Dreaming Dexter,158941
3.42,Bilingual Edition,English,Unknown,"The national bestseller and winner of the Whitbread Award. Composed toward the end of the first millennium, Beowulf is the classic Northern epic of a hero’s triumphs as a young warrior and his fated death as a defender of his people. The poem is about encountering the monstrous, defeating it, and then having to live on, physically and psychically exposed in the exhausted aftermath. It is not hard to draw parallels in this story to the historical curve of consciousness in the twentieth century, but the poem also transcends such considerations, telling us psychological and spiritual truths that are permanent and liberating.",Paperback,52357,213 pages,Beowulf,185800
4.06,Folger Shakespeare Library Edition,English,William Shakespeare,"The action is set in Sicily, where Don Pedro, Prince of Aragon, has recently defeated his half-brother, the bastard Don John, in a military engagement. Apparently reconciled, they return to the capital, Messina, as guests of the Governor, Leonato. There Count Claudio, a young nobleman serving in Don Pedro's army, falls in love with Hero, Leonato's daughter, whom Don Pedro woos on his behalf. The play's central plot shows how Don John maliciously deceives Claudio into believing that Hero has taken a lover on the eve of her marriage, causing Claudio to repudiate her publicly, at the altar.",Mass Market Paperback,12957,246 pages,Much Ado About Nothing,186492
4.1,100th Anniversary Edition,English,J.M. Barrie,"Peter Pan, the book based on J.M. Barrie's famous play, is filled with unforgettable characters: Peter Pan, the boy who would not grow up; the fairy, Tinker Bell; the evil pirate, Captain Hook; and the three children--Wendy, John, and Michael--who fly off with Peter Pan to Neverland, where they meet Indians and pirates and a crocodile that ticks. Renowned children's-book artist Michael Hague has brought the amazing adventures of Peter Pan to life. His beautiful illustrations capture the wild, seductive power of this classic book. This newly designed edition will be enjoyed by fans young and old alike.",Hardcover,34268,176 pages,Peter Pan,197840
3.76,First Edition,English,Sophie Kinsella,Somehow Lexi went from a twent,Hardcover,1358844,352 pages,Remember Me?,183900
4.07,First Vintage Contemporary Edition - Hard Paperback,English,Donna Tartt,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil.",Paperback,29044,559 pages,The Secret History,192122
4.11,Oxford World's Classics,English,Leo Tolstoy,"Tolstoy's epic masterpiece intertwines the lives of private and public individuals during the time of the Napoleonic wars and the French invasion of Russia. The fortunes of the Rostovs and the Bolkonskys, of Pierre, Natasha, and Andrei, are intimately connected with the national history that is played out in parallel with their lives. Balls and soirees alternate with councils of war and the machinations of statesmen and generals, scenes of violent battles with everyday human passions in a work whose extraordinary imaginative power has never been surpassed. ",Paperback,656,1392 pages,Война и миръ,195036
4.42,Six Volume Box Set ,English,Stephen King,"At Cold Mountain Penitentiary, along the lonely stretch of cells known as the Green Mile, killers are depraved as the psychopathic ""Billy the Kid"" Wharton and the possessed Eduard Delacroix await death strapped in ""Old Sparky."" Here guards as decent as Paul Edgecombe and as sadistic as Percy Wetmore watch over them. But good or evil, innocent or guilty, none have ever seen the brutal likes of the new prisoner, John Coffey, sentenced to death for raping and murdering two young girls. Is Coffey a devil in human form? Or is he a far, far different kind of being?",Paperback,11566,592 pages,The Green Mile,192585
3.95,First Edition,English,P.C. Cast,"Life sucks when your friends are pissed at you. Just ask Zoey Redbird – she's become an expert on suckiness. In one week she has gone from having three boyfriends to having none, and from having a close group of friends who trusted and supported her, to being an outcast. Speaking of friends, the only two Zoey has left are undead and unMarked. And Neferet has declared war on humans, which Zoey knows in her heart is wrong. But will anyone listen to her? Zoey's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested, shocking true intentions come to light, and an ancient evil is awakened in PC and Kristin Cast's spellbinding fourth House of Night novel. (",Paperback,2866718,338 pages,Untamed: A House of Night Novel,198829
4.04,Revised Mass Market Edition,English,Orson Scott Card,"Now long years later, a second alien race has been discovered, but again the aliens’ ways are strange and frightening…again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenoc",Mass Market Paperback,7967,382 pages,Speaker for the Dead,183915
