Language,title,bookformat,id,author,GoodReadAverageRating,NumberofRatings,bookEdition,description,numberofpages
English,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Paperback,74034,Neil Postman,4.14,11305,20th Anniversary Edition,"Television has conditioned us to tolerate visually entertaining material measured out in spoonfuls of time, to the detriment of rational public discourse and reasoned public affairs. In this eloquent, persuasive book, Neil Postman alerts us to the real and present dangers of this state of affairs, and offers compelling suggestions as to how to withstand the media onslaught. Before we hand over politics, education, religion, and journalism to the show business demands of the television age, we must recognize the ways in which the media shape our lives and the ways we can, in turn, shape them to serve out highest goals.",184 pages
English,Johnny Mnemonic,Hardcover,313998,William Gibson,3.75,9820,Film Tie-in,Johnny is a courier. He carries other people's me,160 pages
English,Skippyjon Jones in Mummy Trouble (Skippyjon Jones),Hardcover,244115,Judy Schachner,4.25,11367,with Audio CD,—the underworld— where mummitos rest in peas. But they need El Skippito's brains and courage to answer the riddle of theFinx and enter the mummy's tomb. Our hero is up to the,32 pages
English,Avatar: Last Airbender v. 1 (Avatar (Graphic Novels)),Paperback,1070527,Michael Dante DiMartino,4.52,8457,Graphic Novels,"Michael Dante DiMartino is a graduate of the Rhode Island School of Design. His directing credits include the animated series King of the Hill, Family Guy, and Mission Hill. He is a co-creator of the award-winning animated Nickelodeon series Avatar: The Last Airbender and its sequel, The Legend of Korra. DiMartino lives in Los Angeles with his wife. The Rebel Geniuses series is his debut prose wor",96 pages
English,Batwoman: Elegy,Hardcover,6911529,Greg Rucka,4.16,11561,Deluxe Edition,"A new era begins as Batwoman is unleashed on Gotham City! Marked by the blood-red bat emblem, Kate Kane is a soldier fighting her own private war - one that began years ago and haunts her every waking moment. In this first tale, Batwoman battles a madwoman known only as Alice, inspired by Alice in Wonderland, who sees her life as a fairy tale and everyone around her as expendable extras! ",192 pages
English,"The Dragonslayer (Bone, #4)",Paperback,106124,Jeff Smith,4.33,11499,1st Scholastic Edition, ,168 pages
German,Gut gegen Nordwind,Hardcover,1820716,Daniel Glattauer,3.88,13902,First Edition,"Bei Leo Leike landen irrtümlich E-Mails einer ihm unbekannten Emmi Rothner. Aus Höflichkeit antwortet er ihr. Und weil sich Emmi von ihm angezogen fühlt, schreibt sie zurück.",223 pages
                                  ,9789710573653,Mass Market Paperback,17903381,HaveYouSeenThisGirL,4.4,7059,Gold,"Mahirap at panget si Girl tapos magnet siya ng mga poging mayayaman na boys? YES! Cliché? YES! So what makes this book special? This story has made a lot of people online laugh, as in hagalpak talaga with matching headbang pa! This is Eya's diary, a girl who believes she's ugly and will meet Cross Sandford, the most annoying nilalang ever. Samahan natin si Eya sa nakakaloka niyang adventure sa Willford Academy! A Cinderella story with a twist katatawanan! A story na pwedeng-pwede sa mga kabataan at pati na rin sa lagpas kabataan, para sa kababaihan, kalalakihan, binabae, o pusong lalaki. A very funny and kakilig story.",128 pages
English,Single White Vampire,Mass Market Paperback,263149,Lynsay Sands,4.17,18695,Love Spell," - ""Lucern."" Successful biographer of family, books recently categorized as ""paranormal romance."" Something of a recluse. Hates crowds, aggressive women. Doesn't like sunbathing, garlicky dinners or religious symbols. Likes old-fashioned values; spicy Mexican dishes; warm, nice-smelling neck; and plump red lips. Stronger than ten men and can vanish in the blink of an eye. Currently unaware he's seeking a woman to share eternity.",369 pages
English,More Than Human,Paperback,541024,Theodore Sturgeon,3.98,12138,First Vintage Books Edition,"There's Lone, the simpleton who can hear other people's thoughts and make a man blow his brains out just by looking at him. There's Janie, who moves things without touching them, and there are the teleporting twins, who can travel ten feet or ten miles. There's Baby, who invented an antigravity engine while still in the cradle, and Gerry, who has everything it takes to run the world except for a conscience. Separately, they are talented freaks. Together, they compose a single organism that may represent the next step in evolution, and the final chapter in the history of the human race.",186 pages
