description,NumberofRatings,numberofpages,author,bookformat,GoodReadAverageRating,title,Language,id,bookEdition
"Paul Galdone (1907 - November 7, 1986) was a children's literature author and illustrator. He was born in Budapest and he emigrated to the United States in 1921. He studied art at the Art Student's League and New York School for Industrial Design. He served for the US Army during world War II.",13133,32 pages,Paul Galdone,Paperback,4.15,The Three Billy Goats Gruff,English,789559,Folk Tale Classics  Series
"The influence and popularity of Rilke’s poetry in America have never been greater than they are today, more than fifty years after his death. Rilke is unquestionably the most significant and compelling poet of romantic transformation, of spiritual quest, that the twentieth century has known. His poems of ecstatic identification",11396,356 pages,Rainer Maria Rilke,Paperback,4.4,"
                  0679722017
                      ","
                  ",46201,Bilingual edition
" quickly became an international bestseller, and for the past fifteen years it has remained the veritable bible of women’s health. Now, in this revised and updated edition, world-renowned and much-beloved women’s health expert Dr. Christiane Northrup shares with us the latest developments and advances that",10758,906 pages,Christiane Northrup,Paperback,4.32,"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",English,131830,Revised
"An unseen enemy of immense strength has seized a Prince of the Blood, and now threatens the perfect kingdom by striking at the very core of its power - the secret knowledge of Shadow.",13481,192 pages,Roger Zelazny,Mass Market Paperback,4.14,Sign of the Unicorn,English,239917,12th printing
"As with a number of the author's other works, this profoundly influential nov",12563,247 pages,Fyodor Dostoyevsky,Paperback,4.03,Записки из Мёртвого дома,English,17877,thrift
", for whom color was the chief symbol of expression, was born in Groot-Zundert, Holland. The son of a pastor, brought up in a religious and cultured atmosphere, Vincent was highly emotional and lacked self-confidence. Between 1860 and 1880, when he finally decided to become an artist, van Gogh had had two unsuitable and unhappy romances and had worked unsuccessfully as a cle",9866,480 pages,Vincent van Gogh,Paperback,4.1,Dear Theo: The Letters of Vincent Van Gogh,English,198511,reprint
"The crash of a U.S. military research satellite in the remote wilds of Mongolia triggers an explosive search for the valuable cargo it holds: a code-black physics project connected to the study of dark energy, the energy connected to the birth of our universe. But the last blurry image from the falling satellite captures a chilling sight: a frightening look into the future, a view of a smoldering eastern seaboard of the United States in utter ruin.",12543,410 pages,James Rollins,Hardcover,4.11,The Eye of God: A Sigma Force Novel,English,16065538,1st
But when Alex is approached by multiple factions to crack open a relic from a long-ago,15072,295 pages,Benedict Jacka,Mass Market Paperback,3.89,Fated,English,11737387,1st Edition
" is a clinically observed, sinister tale of adultery and murder among the lower classes in nineteenth-century Parisian society.",14603,201 pages,Émile Zola,Paperback,3.71,Thérèse Raquin,English,110871,Penguin Classics
Now Nick’s saga continues in the next eagerly anticipated volume...,16488,468 pages,Sherrilyn Kenyon,Hardcover,4.36,Infamous,English,12019355,First
 Lush Life ,10349,464 pages,Richard Price,Hardcover,3.69,Lush Life,English,1862313,First Edition
Star Wars:,12131,379 pages,James Luceno,Hardcover,4.07,Star Wars: Darth Plagueis,English,11099729,First Edition
"Shanghai, 1941 -- a city aflame from the fateful torch of Pearl Harbor. In streets full of chaos and",13069,351 pages,J.G. Ballard,Paperback,3.98,Empire of the Sun,"
                  ",56674,Special Overseas Edition
"Michael Chabon's Pulitzer Prize-winning bestseller, The Amazing Adventures of Kavalier & Clay, sprang from an early passion for the derring-do and larger-than-life heroes of classic comic books. Now, once more mining the rich past, Chabon summons the rollicking spirit of legendary adventures—from The Arabian Nights to Alexandre Dumas to Fritz Leiber's Fafhrd and the Gray Mouser stories—in a wonderful new novel brimming with breathless action, raucous humor, cliff-hanging suspense, and a cast of colorful characters worthy of Scheherazade's most tantalizing tales.",11525,204 pages,Michael Chabon,Hardcover,3.42,Gentlemen of the Road,English,587638,First Edition
"The great traction city London has been skulking in the hills to avoid the bigger, faster, hungrier cities loose in the Great Hunting Ground. But now, the sinister plans of Lord Mayor Mangus Crome can finally unfold.",14700,373 pages,Philip Reeve,Paperback,3.98,Mortal Engines,English,287861,Eos
" chronicles the public careers and private lives of the men who wielded absolute power over Rome, from the foundation of the empire under Julius Cae",13041,363 pages,Suetonius,Paperback,4.05,De vita Caesarum ,English,29022,Revised Edition
"She tries to put the enormous mistake behind her, but Kyle mercilessly pursues Emmy despite her new relationship with Luke Kessler and Kyle's long-standing girlfriend Jessyca.",17120,346 pages,L.D. Davis,Kindle Edition,3.94,B007SRWAEW,                                  ,13601550,2nd Edition
"As the twin to Acheron, Styxx hasn’t always been on his brother’s side. They’ve spent more centuries going at each other’s throats than protecting their backs. Now Styxx",16966,836 pages,Sherrilyn Kenyon,Hardcover,4.58,Styxx,English,15767586,First
"This is Elizabeth Gaskell's first novel, a widely acclaimed work based on the actual murder, in 1831, of a progressive mill owner. It follows Mary Barton, daughter of a man implicated in the murder, through her adolescence, when she suffers the advances of the mill owner, and later through love and marriage. Set in Manchester, between 1837-42, it paints a powerful and moving picture of working-class life in Victorian England.",13296,437 pages,Elizabeth Gaskell,Paperback,3.7,Mary Barton,English,54620,Oxford World's Classics
"This is a time of endings and beginnings, old friends and new, a blurring of edges and a shifting of power. Now Tiffany stands between the light and the dark, the good and the bad.",14079,276 pages,Terry Pratchett,Hardcover,4.34,The Shepherd's Crown,English,22886868,First Edition
"#1 international bestselling author of over thirty novels and three collections of short stories. His books are sold in 150 countries and translated into 25 languages. His first novel featuring Lincoln Rhyme, ",13778,657 pages,Jeffery Deaver,Hardcover,3.94,The Stone Monkey,English,142545,Large Print
"Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression -- the state within the state that ruled all-powerfully.Through truly Shakespearean portraits of its victims -- men, women, and children -- we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. The Gulag Archipelago 1918-1956 -- a grisly indictment of a regime, fashioned here into a veritable literary miracle -- has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia.",12891,472 pages,Aleksandr Solzhenitsyn,Paperback,4.16,"Архипелаг ГУЛАГ, 1918-1956",English,70561,English Edition
All they have is the name and number of someone who might be able to give them a f,18912,406 pages,Kelley Armstrong,Hardcover,4.13,The Rising,English,11864728,First Edition
"In the novel that won her the Booker Prize and established her international reputation, Anita Brookner finds a new vocabulary for framing the eternal question ""Why love?"" It tells the story of Edith Hope, who writes romance novels under a pseudonym. When her life begins to resemble the plots of her own novels,",12250,182 pages,Anita Brookner,Paperback,3.56,Hotel du Lac,English,251665,First Vintage Contemporaries Edition
Her books include the highly acclaimed Regeneration trilogy ,12693,288 pages,Pat Barker,Paperback,4.12,The Ghost Road,English,151926,First Plume Printing
تدور أحداث الرواية حول طالب في كلية الطب يهوى الكتابة ، ويبحث دائما عن شخصيات فريدة لتناولها في كتاباته ، إلى أن يجد نفسه وجها لوجه أمام (المرحوم) ، عامل المشرحة المسئول عن حفظ الجثث وإعدادها للتشريح .. يقترب منه ليكتشف أنه شخصية مركبة لأقصى حد . حيث يرى أن وجوده في المشرحة هو رسالة كلف بها ليتم لهؤلاء الموتى أعمالا كان ينبغي عليهم أن يتموها حتى ترتاح أجسادهم في الأرض .. ويخبره أنه يملك القدرة على أن يلبس أجساد الموتى ويتحرك بها لينتهي مما لم يستطيعوا أن ينتهوا منه وهم أحياء .. وما بين تعاطف الطبيب الشاب مع عامل المشرحة الذي يبدو له مختلا وفضوله ليستكمل قصته الجديدة يتماشى معه . فيجد نفسه طرفا في أحداث تجره إلى عالم أكثر قسوة وغموضا من عالم الأموات .. هو صراع الأحياء ..صراعات الدين والسلطة والفساد والسياسة والفقر والمرض ، ومع الوقت يجد أن كل ما يحدث يؤكد له أن هذا العامل ليس مجنونا بل هو مرتبط فعليا بهؤلاء الموتى الذين تركوا حياتهم خلفهم لينغمس فيها هو والمرحوم ويكاد يكون خروجهما منها مستحيلا ..,9047,362 pages,حسن كمال,Paperback,3.51,المرحوم,"
                ",18323154,الطبعة الثانية
"This Text Revision incorporates information culled from a comprehensive literature review of research about mental disorders published since the DSM-IV(R) of 1994. Updated information is included about the associated features, culture, age & gender features, prevalence, course & familial pattern of mental disorders. The DSM-IV-TR(R) brings this essential diagnostic tool to-date, to promote effective diagnosis, treatment & quality of care. One can get all the essential diagnostic information from the DSM-IV(R) along with important updates not in the '94 edition. Benefit from new research into Schizophrenia, Asperger's Disorder & other conditions. Utilize additional information about the epidemiology & other facets of DSM conditions. Update ICD-9-CM codes implemented since 1994 including Conduct Disorder, Dementia, Somatoform Disorders.",10192,943 pages,American Psychiatric Association,Paperback,3.87,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),English,164723,"4th, Text Revision"
"Edgar Rice Burroughs was an American author, best known for his creation of the jungle hero Tarzan and the heroic John Carter, although he produced works in many genres.",13316,190 pages,Edgar Rice Burroughs,Paperback,3.86,The Gods of Mars,English,841973,From Jan-May 1913 10-part serial <i>All-Story Magazine</i>
"Thomas Covenant, an embittered and cynical writer, afflicted with leprosy and shunned by society, is fated to",12410,1160 pages,Stephen R. Donaldson,Paperback,3.78,"The Chronicles of Thomas Covenant, the Unbeliever",English,179033,"Paperback, collected edition of 1st 3 books"
"Greg Cage was born to protect. While growing up, he was his mother and sister's shield against the world... until he failed. For the last decade, he has carried that guilt and need for vengeance around... until it was stripped from him. Now, with his best friend getting married and no longer needing his protection, h",24861,282 pages,Harper Sloan,Paperback,4.29,English,"
                  ",21518679,2nd  Edition
"Ludwig Josef Johann Wittgenstein (26 April 1889 – 29 April 1951) was an Austrian-British philosopher who worked primarily in logic, the philosophy of mathematics, the philosophy of mind, and the philosophy of language.",10160,246 pages,Ludwig Wittgenstein,Hardcover,4.23,Philosophische Untersuchungen,English,12073,50th Anniversary Commemorative Edition
 is a kitchen classic. Hailed by ,11175,896 pages,Harold McGee,Hardcover,4.48,On Food and Cooking: The Science and Lore of the Kitchen,English,101255,"Revised, Second Edition"
"If your inner wolf and your body react rather enthusiastically to a psychotic Alpha male who’s own wolf has a tendency to turn feral, it can’t be a good thing, can it? Entering into a bargain with him wouldn’t be good either. Unfortunately, Taryn Warner, a latent wolf shifter, doesn’t have many options open to her right now. Okay, she has no options. Basically it comes down to whether she’ll do what it takes to escape the arranged mating with the sick SOB that her father set up. As the answer in this case is yes, it looks as though she’ll have to agree to Trey Coleman’s deal…she’ll have to mate with him instead. ",26016,429 pages,Suzanne Wright,Kindle Edition,4.12,Feral Sins,"
                  ",13522957,1st edition
"The free Fables living in the mundane world have struck a decisive blow against the Adversary, destroying one of his most valuable assets at the very heart of his empire - and setting the stage for an all-out war between the worlds in the process. Now, while the ruler of the Homelands licks his wounds and gathers his forces, the denizens of Fabletown have a rare chance to savor the brief peace their victory has brought them. Everyone, however, knows that this is just the calm before the storm - and that even the winds themselves will have to choose sides before it's over.",15537,200 pages,Bill Willingham,Paperback,4.24,"Fables, Volume 9: Sons of Empire",English,158988,Trade
"Summoned by a remote tribe of nomadic Aborigines to accompany them on walkabout, the woman makes a four-month",12517,224 pages,Marlo Morgan,Paperback,3.79,Mutant Message Down Under,English,32349,Tenth Anniversary Edition
"In this classically simple tale of the disastrous impact of outside life on a secluded community in Dorset, now in a new edition, Hardy narrates the rivalry for the hand of Grace Melbury between a simple and loyal woodlander and an exotic and sophisticated outsider. Betrayal, adultery, disillusion, and moral compromise are all worked out in a setting evoked as both beautiful and treacherous. ",11742,420 pages,Thomas Hardy,Paperback,3.83,The Woodlanders,English,341281,Penguin Classics
Had TR won his historic “Bull Moose” campaign,13469,766 pages,Edmund Morris,Hardcover,4.1,Colonel Roosevelt,English,7993566,First Edition
"One of ""Sin City's"" most fascinatingly conflicted characters, Dwight, returns in ""The Big Fat Kill"", the third volume of Frank Miller's seminal noir comic and the inspiration for one of the segments of the blockbuster ""Sin City"" film! This third edition is newly redesigned and features a brand-new cover by Miller - some of his first comics art in years! For Dwight, sometimes standing up for his friends means killing a whole lot of people. Not for revenge. Not because they deserve it. Not because it'll make the world a better place. There's nothing righteous or noble about it. Dwight's gotta kill them because he needs them dead. With a new look generating more excitement than ever before, this third edition is the perfect way to attract a whole new generation of readers to Frank Miller's masterpiece!",13781,184 pages,Frank Miller,Paperback,4.1,Sin City: The Big Fat Kill,English,419103,Third Edition
"Carolina Broad, society's newest darling, fans a fla",17648,391 pages,Anna Godbersen,Hardcover,3.84,Splendor,English,6239873,1st Edition
"Then, one snowy night in Manhattan, the prince meets a dark haired beauty who doesn't bow down. Instead, she throws a pie in his face.",20089,276 pages,Emma Chase,Kindle Edition,4.1,Royally Screwed,"
                ",29991719,1st edition
"Since making her publishing debut in 2012, Natasha Anders has been drawing praise and attention as a new voice in romance. The Unwanted Wife, which became a self-published bestseller, is the first title in Anders’s forthcoming Unwanted series. Born in Cape Town, South Africa, Anders spent nine years as an associate English teacher in Niigata, Japan, where she became a legendary karaoke diva. Ander",19888,215 pages,Natasha Anders,Kindle Edition,3.94,The Unwanted Wife,"
                  ",16056862,First Edition
Don't ,13177,263 pages,Mireille Guiliano,Hardcover,3.48,French Women Don't Get Fat,English,106882,Large Print
Af,16562,352 pages,Sarah Blakley-Cartwright,Paperback,3.51,Red Riding Hood,English,9349915,First Edition
" purported to be a translation of an Italian story of the time of the crusades. In it Walpole attempted, as he declared in the Preface to the Second Edition, ""to blend the two kinds of romance: the ancient and the modern."" Crammed with invention, entertainment, terror, and pathos, the novel was an immediate succe",16294,125 pages,Horace Walpole,Paperback,3.18,The Castle of Otranto,English,12923,Oxford World's Classics
"Gathered together by Professor Charles Xavier to protect a world that fears and hates them, the X-Men had fought many battles, been on adventures that spanned galaxies, grappled enemies of limitless might, but none of this could prepare them for the most shocking struggle they would ever face. One of their own members, Jean Grey, has gained power beyond all comprehension, and that power has corrupted her absolutely Now they must decide if the life of the woman they cherish is worth the existence of the entire universe.",12292,200 pages,Chris Claremont,Paperback,4.26,"
                  0785122133
                      ","
                  ",103111,Uncanny X-Men
"To Don Raymonde Aprile's children he was a loyal family member, their father's adopted ""nephew."" To the FBI he was a man who would rather ride his horses than do Mob business. No one knew why Aprile, the last great American Don, had adopted Astorre Viola many years before in Sicily; no one suspected how he had carefully trained him ... and how, while the Don's children claimed respectable careers in America, Astorre Viola waited for his time to come.",11468,369 pages,Mario Puzo,Paperback,3.68,Omertà,English,22028,First Mass Market Domestic Edition
"The youngest brother, Ian, known as the Mad Mackenzie, spent most of his young life in an asylum, and every",22337,320 pages,Jennifer Ashley,Mass Market Paperback,4.07,The Madness of Lord Ian Mackenzie,English,5981872,1st Edition
", took us on a journey to a distant planet and into the center of the human soul. A critically acclaimed bestseller, ",14094,451 pages,Mary Doria Russell,Paperback,4.05,Children of God,English,16948,Ballantine Reader's Circle
A pseudonym of ,11884,724 pages,A.N. Roquelaure,Paperback,3.98,Sleeping Beauty Box Set,English,26581,Book Club edition
"The community of Fables living undercover in our midst has endured plenty of suffering at the hands of their longtime antagonist, the Adversary. Now it's time to return the favor and put the would-be conqueror on notice that the cost of subjugating this last stronghold of magic will be higher than he can bear. The one Fable who can accomplish this mission, however, has hidden himself away in the wild and will take some convincing if he can even be found. Luckily for Fabletown, there's something more than a trip behind enemy lines awaiting Bigby Wolf's return...",15924,160 pages,Bill Willingham,Paperback,4.28,"Fables, Volume 8: Wolves",English,21324,Trade
