author,id,Language,description,title,NumberofRatings,GoodReadAverageRating,bookEdition,bookformat,numberofpages
Michael Scott,6693332,English,"Josh and Sophie Newman are finally home. And they're both more confused than ever about their future. Neither of them has mastered the magics they'll need to protect themselves, they've lost Scatty, and they're still being pursued by Dr. John Dee. Most disturbing of all, however, is that now they must ask themselves, can they trust Nicholas Flamel? Can they trust anyone?",The Necromancer: The Secrets of The Immortal Nicholas Flamel,50997,4.12,Deckle Edged,Hardcover,416 pages
Lee Child,108942,English,"From a helicopter high above the empty California desert, a man is sent free-falling into the night…. In Chicago, a woman learns that an elite team of ex–army investigators is being hunted down one by one.... And on the streets of Portland, Jack Reacher—soldier, cop, hero—is pulled out of his wandering life by a code that few other people could understand. From the first shocking scenes in Lee Child’s explosive new novel, Jack Reacher is plunged like a knife into the heart of a conspiracy that is killing old friends…and is on its way to something even worse.",Bad Luck and Trouble,50837,4.17,Delacorte,Hardcover,378 pages
Grant Morrison,22374,English,"In this groundbreaking, painted graphic novel, the inmates of Arkham Asylum have taken over Gotham's detention center for the criminally insane on April Fools Day, demanding Batman in exchange for their hostages. Accepting their demented challenge, Batman is forced to live and endure the personal hells of the Joker, Scarecrow, Poison Ivy, Two-Face and many other sworn enemies in order to save the innocents and retake the prison. During his run through this absurd gauntlet, the Dark Knight's own sanity is placed in jeopardy. This special anniversary edition trade paperback also reproduces the original script with annotations by Morrison and editor Karen Berger.",Batman: Arkham Asylum - A Serious House on Serious Earth,48467,4.09,15th Anniversary Edition,Paperback,216 pages
Roberto Aguirre-Sacasa,7746259,"
                  ","M-O-O-N spells the start of the third volume of Marvel's critically acclaimed adaptation of Stephen King's horror epic. Nick Andros has hit the road and teamed up with the child-like Tom Cullen. After the horrors of Captain Trips, a bike trip through Oklahoma and Nebraska sounds like fun, right? Except it's tornado season, True Believers, and not everyone Nick and Tom meet is on the side of the angels. Hell hath no fury like Julie Lawry, another survivor of the plague... Collects The Stand: Soul Survivors #1-5.","
                  0785136223
                      ",41037,4.52,Premiere HC,Hardcover,136 pages
Janet Evanovich,9583508,English,"Dead bodies are showing up in shallow graves on the empty construction lot of Vincent Plum Bail Bonds. No one is sure who the killer is, or why the victims have been offed, but what is clear""""is that Stephanie's name is on the killer's list. ",Smokin' Seventeen,65010,3.94,Unabridged,Audio CD,308 pages
Elizabeth Berg,5190,English,"Samantha's husband has left her, and after a spree of overcharging at Tiffany's, she settles down to reconstruct a life for herself and her eleven-year-old son. Her eccen",Open House,49546,3.68,Oprah's Book Club,Paperback,272 pages
Neal Stephenson,2845024,English,"Fraa Erasmas is a young avout living in the Concent of Saunt Edhar, a sanctuary for mathematicians, scientists, and philosophers, protected from the corrupting influences of the outside ""saecular"" world by ancient stone, honored traditions, and complex rituals. Over the centuries, cities and governments have risen and fallen beyond the concent's walls. Three times during history's darkest epochs violence born of superstition and ignorance has invaded and devastated the cloistered mathic community. Yet the avout have always managed to adapt in the wake of catastrophe, becoming out of necessity even more austere and less dependent on technology and material things. And Erasmas has no fear of the outside—the Extramuros—for the last of the terrible times was long, long ago.",Anathem,50020,4.18,1st,Hardcover,937 pages
Anna Godbersen,1254951,English,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure, suddenly everyone--from the backstabbing socialite Penelope Hayes, to the debonair bachelor Henry Schoonmaker, to the spiteful maid Lina Broud--threatens Elizabeth's and Diana's golden future. With the fate of the Hollands resting on her shoulders, Elizabeth must choose between family duty and true love. But when her carriage overturns near the East River, the girl whose glittering life lit up the city's gossip pages is swallowed by the rough current. As all of New York grieves, some begin to wonder whether life at the top proved too much for this ethereal beauty, or if, perhaps, someone wanted to see Manhattan's most celebrated daughter disappear... In a world of luxury and deception, where appearance matters above everything and breaking the social code means running the risk of being ostracized forever, five teenagers lead dangerously scandalous lives. This thrilling trip to the age of innocence is anything but innocent.",The Luxe,61916,3.63,1st Edition,Hardcover,433 pages
Harlan Coben,43931,English,"Twenty years ago, four teenagers at summer camp walked into the woods at night. Two were found murdered, and the others were never seen again. Four families had their lives changed forever. Now, two decades later, they are about to change again. For Paul Copeland, the county prosecutor of Essex, New Jersey, mourning the loss of his sister has only recently begun to subside. Cope, as he is known, is now dealing with raising his six- year-old daughter as a single father after his wife has died of cancer. Balancing family life and a rapidly ascending career as a prosecutor distracts him from his past traumas, but only for so long. When a homicide victim is found with evidence linking him to Cope, the well-buried secrets of the prosecutor's family are threatened.",The Woods,51532,4.04,First Edition,Hardcover,404 pages
Robert Penn Warren,5527,English,"More than just a classic political novel, Warren’s tale of power and corruption in the Depression-era South is a sustained meditation on the unforeseen consequences of every human act, the vexing connectedness of all people and the possibility—it’s not much of one—of goodness in a sinful world. Willie Stark, Warren’s lightly disguised version of Huey Long, the onetime Louisiana strongman/governor, begins as a genuine tribune of the people and ends as a murderous populist demagogue. Jack Burden is his press agent, who carries out the boss’s orders, first without objection, then in the face of his own increasingly troubled conscience. And the politics? For Warren, that’s simply the arena most likely to prove that man is a fallen creature. Which it does.",All the King’s Men,47246,4.08,2nd Harvest edition,Paperback,661 pages
L.J. Smith,2985500,English, Gillian is saved from drowning by her guardian angel. Only visible to,"Night World, No. 2",54151,4.2,Omnibus,Paperback,662 pages
David Sedaris,7857195,English,"In ""The Toad, the Turtle, and the Duck,"" three strangers commiserate about animal bureaucracy while waiti",Squirrel Seeks Chipmunk: A Modest Bestiary,50820,3.34,First Edition,Hardcover,159 pages
Stephen King,10566,English,"Lisey Landon lost her husband Scott two years ago, after a twenty-five-year marriage of profound, sometimes frightening intimacy. Scott was a celebrated, award-winning, novelist. And a complex man. Lisey knew there was a dark place where her husband ventured to face his demons. Boo'ya Moon is what Scott called it; a realm that both terrified and healed him, that could eat him alive or give him the ideas he needed to write and live. Now, it's Lisey's turn to face her husband's demons. And what begins as a widow's effort to sort through her husband's effects, becomes a perilous journey into the heart of darkness",Lisey's Story,55571,3.65,First Edition,Hardcover,513 pages
Melissa de la Cruz,6267237,English,"With the stunning revelation surrounding Bliss's true identity comes the growing threat of the sinister Silver Bloods. Once left to live the glamorous life in New York City, the Blue Bloods now find themselves in an epic battle for survival. Not to worry, love is still in the air for the young vampires of the Upper East Side. Or is it? Jack and Schuyler are over. Oliver's brokenhearted. And only the cunning Mimi seems to be happily engaged.",The Van Alen Legacy ,60859,3.95,1st Edition,Hardcover,369 pages
Hilary Mantel,13507212,English,"At a word from Henry, Thomas",Bring Up the Bodies,52058,4.26,US,Hardcover,407 pages
