author,id,Language,description,title,NumberofRatings,GoodReadAverageRating,bookEdition,bookformat,numberofpages
سعود السنعوسي,13637412,Arabic, لو كنت مثل نبتة البامبو.. لا انتماء لها.. نقتطع جزءاً من ساقها.. نغرسه، بلا جذور، في أي أرض.. لا يلبث الساق طويلاً حتى تنبت له جذور جديدة.. تنمو من جديد.. في أرض جديدة.. بلا ماض.. بلا ذاكرة.. لا يل,ساق البامبو [Saq al-Bambu],40176,4.25,29,Paperback,400 pages
Raymond E. Feist,43916,English,"At Crydee, a frontier outpost in the tranquil Kingdom of the Isles, an orphan boy, Pug, is apprenticed to a master magician – and the destinies of two worlds are changed forever.",Magician,48229,4.32,Revised edition,Paperback,681 pages
Charles C. Mann,39020,English, ,1491: New Revelations of the Americas Before Columbus,44108,4.01,2nd Edition,Paperback,541 pages
Brian K. Vaughan,17131869,English,", ","Saga, Volume Two",59125,4.57,Trade,Paperback,144 pages
James Patterson,21436,English,"James Patterson has created more enduring fictional characters than any other novelist writing today with his Alex Cross, Michael Bennett, Women’s Murder Club, Private, NYPD Red, Daniel X, Maximum Ride, and Middle School series. As of January 2016, he has sold over 350",Cat & Mouse,50583,3.96,Abridged,Audio CD,450 pages
John Grisham,7933437,English,"For every innocent man sent to prison, there is a guilty one left on the outside. He doesn't understand how the police and prosecutors got the wrong man, and he certainly doesn't care. He just can't believe his good luck. Time passes and he realizes that the mistake will not be corrected: the authorities believe in their case and are determined to get a conviction. He may even watch the trial of the person wrongly accused of his crime. He is relieved when the verdict is guilty. He laughs when the police and prosecutors congratulate themselves. He is content to allow an innocent person to go to prison, to serve hard time, even to be executed.",The Confession,50306,3.81,First Edition,Hardcover,418 pages
Aprilynne Pike,5056084,English,"Aprilynne Pike has been spinning faerie stories since she was a child with a hyper-active imagination. At the age of twenty she received her BA in Creative Writing from Lewis-Clark State College in Lewiston, Idaho. When not writing, Aprilynne can usually be found at the gym; she also enjoys singing, acting, reading, and working with pregnant moms as a childbirth educator and doula. Aprilynne curre",Wings ,66499,3.75,1st Edition,Hardcover,290 pages
Penelope Douglas,20803953,"
                  ",But he still won't leave me alone.,Bully,73213,4.15,3rd Edition,ebook,333 pages
L.J. Smith,3099787,English, ,"Night World, No. 1",56764,4.04,Omnibus,Paperback,729 pages
Charles Dickens,169848,"
                  ",", is part of the ","
                  1593080336
                      ",49280,4.11,Barnes & Noble Classics Series,Paperback,304 pages
J.R. Ward,10993282,English,", Tohrment has been unrecognizable from the vampire leader he once was. Physically emaciated and heartbroken beyond despair, he has been brought back to the Brotherhood by a self-serving fallen angel. Now, fighting once again with ruthless vengeance, he is unprepared to face a new kind of tragedy. ",Lover Reborn,64519,4.35,First Edition,Hardcover,592 pages
Heidi Murkoff,174703,English,"Heidi Murkoff is the author of the What to Expect® series and author of Eating Well When You're Expecting, The What to Expect Pregnancy Journal & Organizer, What to Expect the First Year, The What to Expect Baby-Sitter's Handbook, and the What to Expect Kids series from HarperCollins. Her interactive website is ",What to Expect When You're Expecting,40241,3.75,Third edition,Paperback,597 pages
George R.R. Martin,9814682,"
                  "," magazine—has created a world that is as rich and vital as any piece of historical fiction, set in an age of knights and chivalry and filled with a plethora of fascinating, multidimensional characters that you","
                  0345529057
                      ",39398,4.63,4-Book Boxed Set,Mass Market Paperback,4081 pages
Janet Evanovich,7023554,English,BAD LUCK:,Sizzling Sixteen,63979,3.94,Large Print,Paperback,371 pages
Homer,1375,English,"If 'The Iliad' is the world's greatest war story, then 'The Odyssey' is literature's greatest evocation of every man'",Ἰλιάς ; Ὀδύσσεια,51450,4.03,Boxed Set,Paperback,1556 pages
Claudia Gray,2722413,English,"Then she meets Lucas. He's not the ""Evernight type"" either, and he likes it that way. Lucas ignores the rules, stands up to th",Evernight,67398,3.64,1 Reprint Edition,Paperback,327 pages
